site_no,Year,UNIT_NAME
USGS-320001084032801,2000,"Eocene and Oligocene Residuum, undifferentiated"
USGS-320010101523701,2000,Blackwater Draw Formation
USGS-320102084004201,2000,"Eocene and Oligocene Residuum, undifferentiated"
USGS-320134084003602,2000,Claiborne undifferentiated
USGS-320143102123101,2000,Blackwater Draw Formation
USGS-320221101594901,2000,Blackwater Draw Formation
USGS-320649101215501,2000,Edwards Limestone
USGS-320816101474601,2000,Blackwater Draw Formation
USGS-320939099093801,2000,Antlers Sand
USGS-321619101495001,2000,Blackwater Draw Formation
USGS-322054086143801,2000,Selma Group; Mooreville Chalk
USGS-322201097141601,2000,Woodbine Formation
USGS-322207094034501,2000,"Wilcox Group, undivided"
USGS-322220106281701,2000,Piedmont alluvial deposits
USGS-322237106282801,2000,Piedmont alluvial deposits
USGS-322239086084501,2000,"Alluvial, coastal and low terrace deposits"
USGS-322240086080801,2000,"Alluvial, coastal and low terrace deposits"
USGS-322249106291801,2000,Piedmont alluvial deposits
USGS-322250106302501,2000,Piedmont alluvial deposits
USGS-322256106282601,2000,Piedmont alluvial deposits
USGS-322300106220001,2000,Upper Santa Fe Group
USGS-322309106290201,2000,Piedmont alluvial deposits
USGS-322311106274101,2000,Piedmont alluvial deposits
USGS-322315086141501,2000,"Alluvial, coastal and low terrace deposits"
USGS-322325106290401,2000,Piedmont alluvial deposits
USGS-322347106285801,2000,Piedmont alluvial deposits
USGS-322405106290101,2000,Piedmont alluvial deposits
USGS-322415106281801,2000,Piedmont alluvial deposits
USGS-322437086114801,2000,"Alluvial, coastal and low terrace deposits"
USGS-322446106290801,2000,Piedmont alluvial deposits
USGS-322503106290801,2000,Piedmont alluvial deposits
USGS-322510106274101,2000,Piedmont alluvial deposits
USGS-322537097485701,2000,Glen Rose Limestone
USGS-322555102105501,2000,Tahoka Formation
USGS-322626097454801,2000,Terrace deposits
USGS-322805102283801,2000,Sand sheet deposits
USGS-322826102280101,2000,Sand sheet deposits
USGS-322832095245401,2000,Sparta Sand
USGS-322928097461701,2000,Glen Rose Limestone
USGS-322958097481301,2000,Glen Rose Limestone
USGS-323204097500301,2000,water
USGS-323356097361801,2000,Kiamichi Formation
USGS-323439097524301,2000,Terrace deposits
USGS-323911097131001,2000,Woodbine Formation
USGS-324210098034701,2000,Terrace deposits
USGS-324548097411701,2000,Walnut Clay
USGS-324649097442001,2000,Walnut Clay
USGS-324810101591201,2000,Blackwater Draw Formation
USGS-324816097272401,2000,Terrace deposits
USGS-324901097284701,2000,Paluxy Sand
USGS-324926097455001,2000,Walnut Clay
USGS-325005097440101,2000,Paluxy Sand
USGS-325101097313101,2000,Walnut Clay
USGS-325335097272401,2000,"Goodland Limestone and Walnut Clay, undivided"
USGS-325523102542701,2000,Sand sheet deposits
USGS-325525097304801,2000,Terrace deposits
USGS-325525097304802,2000,Terrace deposits
USGS-325545098255501,2000,"Quaternary deposit, undivided"
USGS-325819102501601,2000,Sand sheet deposits
USGS-325819102503701,2000,Sand sheet deposits
USGS-330014097285401,2000,Paluxy Sand
USGS-330839097412401,2000,Twin Mountains Formation
USGS-330906097411701,2000,Twin Mountains Formation
USGS-331051102511901,2000,Sand sheet deposits
USGS-331112102160201,2000,Blackwater Draw Formation
USGS-331233099545201,2000,Dune sand sheet deposits
USGS-331310100180801,2000,Blaine Formation
USGS-331902097472301,2000,Antlers Sand
USGS-331933101543701,2000,Blackwater Draw Formation
USGS-332211080354101,2000,Biotite-plagioclase-quartz gneiss and biotite-muscovite schist
USGS-332211080354103,2000,Biotite-plagioclase-quartz gneiss and biotite-muscovite schist
USGS-332211080354104,2000,Biotite-plagioclase-quartz gneiss and biotite-muscovite schist
USGS-332211080354105,2000,Biotite-plagioclase-quartz gneiss and biotite-muscovite schist
USGS-332214080354203,2000,Duplin Formation
USGS-332624102072901,2000,Blackwater Draw Formation
USGS-332714102285401,2000,Blackwater Draw Formation
USGS-332854099441101,2000,Dune sand sheet deposits
USGS-333039096362901,2000,Austin Chalk
USGS-333339080354105,2000,Duplin Formation
USGS-333536102223101,2000,Blackwater Draw Formation
USGS-333543111421501,2000,Pliocene to middle Miocene deposits
USGS-333545111421501,2000,Pliocene to middle Miocene deposits
USGS-333612099163101,2000,Terrace deposits
USGS-333643111404901,2000,Holocene river alluvium
USGS-333647111413901,2000,Late and middle Pleistocene surficial deposits
USGS-333651111414901,2000,Late and middle Pleistocene surficial deposits
USGS-333942094503001,2000,Terrace deposits
USGS-333954117570201,2000,Quaternary alluvium and marine deposits
USGS-333955101404601,2000,Blackwater Draw Formation
USGS-334002117583201,2000,Quaternary alluvium and marine deposits
USGS-334034117492101,2000,Quaternary alluvium and marine deposits
USGS-334043101585701,2000,Sand sheet deposits
USGS-334057117583501,2000,Quaternary alluvium and marine deposits
USGS-334102117495901,2000,Quaternary alluvium and marine deposits
USGS-334131117540101,2000,Quaternary alluvium and marine deposits
USGS-334149117582901,2000,Quaternary alluvium and marine deposits
USGS-334212117573601,2000,Quaternary alluvium and marine deposits
USGS-334216117532901,2000,Quaternary alluvium and marine deposits
USGS-334231117573101,2000,Quaternary alluvium and marine deposits
USGS-334242117565901,2000,Quaternary alluvium and marine deposits
USGS-334245103011001,2000,"Sand deposits, undivided"
USGS-334248118011401,2000,Quaternary alluvium and marine deposits
USGS-334249117580301,2000,Quaternary alluvium and marine deposits
USGS-334302117561601,2000,Quaternary alluvium and marine deposits
USGS-334302118003901,2000,Quaternary alluvium and marine deposits
USGS-334306101504101,2000,Blackwater Draw Formation
USGS-334317117571501,2000,Quaternary alluvium and marine deposits
USGS-334335117584801,2000,Quaternary alluvium and marine deposits
USGS-334341117561501,2000,Quaternary alluvium and marine deposits
USGS-334352102450601,2000,Blackwater Draw Formation
USGS-334404117584701,2000,Quaternary alluvium and marine deposits
USGS-334418117573301,2000,Quaternary alluvium and marine deposits
USGS-334419102045201,2000,Ogallala Formation
USGS-334420118000001,2000,Quaternary alluvium and marine deposits
USGS-334426117580501,2000,Quaternary alluvium and marine deposits
USGS-334459117283201,2000,Quaternary alluvium and marine deposits
USGS-334500118003001,2000,Quaternary alluvium and marine deposits
USGS-334503117543701,2000,Quaternary alluvium and marine deposits
USGS-334529118021301,2000,Quaternary alluvium and marine deposits
USGS-334559117505801,2000,Quaternary alluvium and marine deposits
USGS-334601117582401,2000,Quaternary alluvium and marine deposits
USGS-334603117544901,2000,Quaternary alluvium and marine deposits
USGS-334608117525601,2000,Quaternary alluvium and marine deposits
USGS-334613118005901,2000,Quaternary alluvium and marine deposits
USGS-334652118021501,2000,Quaternary alluvium and marine deposits
USGS-334659117561201,2000,Quaternary alluvium and marine deposits
USGS-334704117561101,2000,Quaternary alluvium and marine deposits
USGS-334710117552101,2000,Quaternary alluvium and marine deposits
USGS-334720117551901,2000,Quaternary alluvium and marine deposits
USGS-334722117491901,2000,Quaternary alluvium and marine deposits
USGS-334731117540401,2000,Quaternary alluvium and marine deposits
USGS-334740118012701,2000,Quaternary alluvium and marine deposits
USGS-334744117594601,2000,Quaternary alluvium and marine deposits
USGS-334753117525901,2000,Quaternary alluvium and marine deposits
USGS-334833117555501,2000,Quaternary alluvium and marine deposits
USGS-334840096434001,2000,"Grayson Marl and Main Street Limestone, undivided"
USGS-334844096435701,2000,"Grayson Marl and Main Street Limestone, undivided"
USGS-334857102092301,2000,Blackwater Draw Formation
USGS-334859117520501,2000,Quaternary alluvium and marine deposits
USGS-334903117535201,2000,Quaternary alluvium and marine deposits
USGS-334949117544301,2000,Quaternary alluvium and marine deposits
USGS-335000102545701,2000,Blackwater Draw Formation
USGS-335105117471401,2000,Quaternary alluvium and marine deposits
USGS-335112118090403,2000,Quaternary alluvium and marine deposits
USGS-335112118090404,2000,Quaternary alluvium and marine deposits
USGS-335112118090405,2000,Quaternary alluvium and marine deposits
USGS-335112118090406,2000,Quaternary alluvium and marine deposits
USGS-335118117481401,2000,Quaternary alluvium and marine deposits
USGS-335206117481101,2000,Quaternary alluvium and marine deposits
USGS-335224117332101,2000,Older Quaternary alluvium and marine deposits
USGS-335224117351101,2000,Older Quaternary alluvium and marine deposits
USGS-335416100502101,2000,"Quaternary deposit, undivided"
USGS-335449100513101,2000,"Quaternary deposit, undivided"
USGS-335835117221501,2000,Older Quaternary alluvium and marine deposits
USGS-335911117025501,2000,Older Quaternary alluvium and marine deposits
USGS-335924117412201,2000,Quaternary alluvium and marine deposits
USGS-340025117301101,2000,Older Quaternary alluvium and marine deposits
USGS-340033117204001,2000,Older Quaternary alluvium and marine deposits
USGS-340103117312601,2000,Quaternary alluvium and marine deposits
USGS-340105117031601,2000,Older Quaternary alluvium and marine deposits
USGS-340210100184901,2000,Sand sheet deposits
USGS-340253117002701,2000,Older Quaternary alluvium and marine deposits
USGS-340303117434701,2000,Quaternary alluvium and marine deposits
USGS-340320117313801,2000,Quaternary alluvium and marine deposits
USGS-340333117431001,2000,Quaternary alluvium and marine deposits
USGS-340336117374201,2000,Quaternary alluvium and marine deposits
USGS-340345101531801,2000,Blackwater Draw Formation
USGS-340406098160701,2000,Alluvium
USGS-340406117351701,2000,Quaternary alluvium and marine deposits
USGS-340408117165301,2000,Quaternary alluvium and marine deposits
USGS-340408117165302,2000,Quaternary alluvium and marine deposits
USGS-340408117165303,2000,Quaternary alluvium and marine deposits
USGS-340408117165304,2000,Quaternary alluvium and marine deposits
USGS-340423117155201,2000,Quaternary alluvium and marine deposits
USGS-340426117092701,2000,Quaternary alluvium and marine deposits
USGS-340427102302801,2000,Blackwater Draw Formation
USGS-340437117170301,2000,Quaternary alluvium and marine deposits
USGS-340438117162301,2000,Quaternary alluvium and marine deposits
USGS-340439117173902,2000,Quaternary alluvium and marine deposits
USGS-340439117173904,2000,Quaternary alluvium and marine deposits
USGS-340439117173905,2000,Quaternary alluvium and marine deposits
USGS-340439117173907,2000,Quaternary alluvium and marine deposits
USGS-340444117205401,2000,Quaternary alluvium and marine deposits
USGS-340451099224401,2000,Sand sheet deposits
USGS-340503117104102,2000,Quaternary alluvium and marine deposits
USGS-340503117104103,2000,Quaternary alluvium and marine deposits
USGS-340503117104104,2000,Quaternary alluvium and marine deposits
USGS-340503117104105,2000,Quaternary alluvium and marine deposits
USGS-340541117074401,2000,Quaternary alluvium and marine deposits
USGS-340541117074402,2000,Quaternary alluvium and marine deposits
USGS-340546117212501,2000,Quaternary alluvium and marine deposits
USGS-340623117104001,2000,Quaternary alluvium and marine deposits
USGS-340649117260701,2000,Quaternary alluvium and marine deposits
USGS-340703117421901,2000,Quaternary alluvium and marine deposits
USGS-340717117194601,2000,Quaternary alluvium and marine deposits
USGS-340830117355101,2000,Quaternary alluvium and marine deposits
USGS-340904117221001,2000,Quaternary alluvium and marine deposits
USGS-341018117253201,2000,Quaternary alluvium and marine deposits
USGS-341032101423801,2000,Ogallala Formation
USGS-341116101574601,2000,Blackwater Draw Formation
USGS-341229102435401,2000,"Sand deposits, undivided"
USGS-341418102243401,2000,Blackwater Draw Formation
USGS-341523099305701,2000,Sand sheet deposits
USGS-341848099222501,2000,Dune sand sheet deposits
USGS-341919101035201,2000,Lingos Formation
USGS-342109100570301,2000,Lingos Formation
USGS-342841101155301,2000,Blackwater Draw Formation
USGS-343046101463701,2000,Blackwater Draw Formation
USGS-343530086213801,2000,Monteagle Limestone
USGS-343613086441701,2000,Tuscumbia Limestone
USGS-343836086562901,2000,Tuscumbia Limestone
USGS-343919087182201,2000,Tuscumbia Limestone
USGS-344036087320901,2000,Tuscumbia Limestone
USGS-344124086531401,2000,Tuscumbia Limestone
USGS-344127087212001,2000,Tuscumbia Limestone
USGS-344131087335201,2000,Tuscumbia Limestone
USGS-344154087171201,2000,Tuscumbia Limestone
USGS-344234100431601,2000,Lingos Formation
USGS-344343087220101,2000,Tuscumbia Limestone
USGS-344348086493401,2000,Fort Payne Chert
USGS-344407086273401,2000,Tuscumbia Limestone
USGS-344553086591301,2000,Tuscumbia Limestone
USGS-344615086272201,2000,Fort Payne Chert
USGS-344910100360401,2000,Ogallala Formation
USGS-345112086313401,2000,Fort Payne Chert
USGS-345222086303301,2000,Fort Payne Chert
USGS-345247086415001,2000,Fort Payne Chert
USGS-345539086241301,2000,Tuscumbia Limestone
USGS-345658100155501,2000,Sand sheet deposits
USGS-345822086254001,2000,Fort Payne Chert
USGS-345912086243901,2000,Fort Payne Chert
USGS-350112086512301,2000,Fort Payne Formation and Chattanooga Shale
USGS-350203086391701,2000,Fort Payne Formation and Chattanooga Shale
USGS-350224102020301,2000,water
USGS-350254100535501,2000,Ogallala Formation
USGS-350333086583101,2000,Stones River Group; Carters Limestone
USGS-350603087005501,2000,Stones River Group; Lebanon Limestone
USGS-350607102103401,2000,Blackwater Draw Formation
USGS-350709086120701,2000,St. Louis Limestone and Warsaw Limestone
USGS-350941086395801,2000,Stones River Group; Carters Limestone
USGS-351011086562001,2000,"Ordovician [units] including  Richmond Group (which includes Mannie Shale, Fernvale Limestone, Sequatchie Formation, and Arnheim Formation), the Maysville Group (which includes Leipers Formation), the Eden Group (which includes Inman Formation), and the Nashville Group (which includes Catheys Formation)."
USGS-351024101334401,2000,Blackwater Draw Formation
USGS-351118086051801,2000,St. Louis Limestone and Warsaw Limestone
USGS-351402086253501,2000,"Ordovician [units] including  Richmond Group (which includes Mannie Shale, Fernvale Limestone, Sequatchie Formation, and Arnheim Formation), the Maysville Group (which includes Leipers Formation), the Eden Group (which includes Inman Formation), and the Nashville Group (which includes Catheys Formation)."
USGS-351428100352601,2000,Ogallala Formation
USGS-351449087061301,2000,Nashville Group; Bigby-Cannon Limestone and Hermitage Formation
USGS-351450086562001,2000,"Ordovician [units] including  Richmond Group (which includes Mannie Shale, Fernvale Limestone, Sequatchie Formation, and Arnheim Formation), the Maysville Group (which includes Leipers Formation), the Eden Group (which includes Inman Formation), and the Nashville Group (which includes Catheys Formation)."
USGS-351459085555901,2000,Monteagle Limestone
USGS-351506098284001,2000,Rush Springs Formation
USGS-351545098285701,2000,Rush Springs Formation
USGS-351601086442101,2000,"Ordovician [units] including  Richmond Group (which includes Mannie Shale, Fernvale Limestone, Sequatchie Formation, and Arnheim Formation), the Maysville Group (which includes Leipers Formation), the Eden Group (which includes Inman Formation), and the Nashville Group (which includes Catheys Formation)."
USGS-351636086141301,2000,Fort Payne Formation and Chattanooga Shale
USGS-351646086040701,2000,St. Louis Limestone and Warsaw Limestone
USGS-351800087070301,2000,Fort Payne Formation and Chattanooga Shale
USGS-351837086412801,2000,Stones River Group; Carters Limestone
USGS-352259086413101,2000,Nashville Group; Bigby-Cannon Limestone and Hermitage Formation
USGS-352334086304601,2000,Nashville Group; Bigby-Cannon Limestone and Hermitage Formation
USGS-352338086475801,2000,Nashville Group; Bigby-Cannon Limestone and Hermitage Formation
USGS-352458086034702,2000,St. Louis Limestone and Warsaw Limestone
USGS-352627086002601,2000,St. Louis Limestone and Warsaw Limestone
USGS-352709100182901,2000,Sand sheet deposits
USGS-352751086310501,2000,Stones River Group; Lebanon Limestone
USGS-352807086435601,2000,Stones River Group; Lebanon Limestone
USGS-352808086572801,2000,Stones River Group; Lebanon Limestone
USGS-353034086494401,2000,Stones River Group; Ridley Limestone
USGS-353211086271201,2000,Stones River Group; Lebanon Limestone
USGS-353215100261201,2000,Ogallala Formation
USGS-353217087144901,2000,"Ordovician [units] including  Richmond Group (which includes Mannie Shale, Fernvale Limestone, Sequatchie Formation, and Arnheim Formation), the Maysville Group (which includes Leipers Formation), the Eden Group (which includes Inman Formation), and the Nashville Group (which includes Catheys Formation)."
USGS-353341086074501,2000,Fort Payne Formation and Chattanooga Shale
USGS-353411086444001,2000,Stones River Group; Ridley Limestone
USGS-353423086170801,2000,Nashville Group; Bigby-Cannon Limestone and Hermitage Formation
USGS-353517086251101,2000,Stones River Group; Lebanon Limestone
USGS-353704086323901,2000,Stones River Group; Ridley Limestone
USGS-353704101343701,2000,Ogallala Formation
USGS-353734086423301,2000,Stones River Group; Ridley Limestone
USGS-353829087122501,2000,Nashville Group; Bigby-Cannon Limestone and Hermitage Formation
USGS-353855086342901,2000,Stones River Group; Lebanon Limestone
USGS-354014086093401,2000,Fort Payne Formation and Chattanooga Shale
USGS-354152086531901,2000,Stones River Group; Carters Limestone
USGS-354206087013401,2000,Nashville Group; Bigby-Cannon Limestone and Hermitage Formation
USGS-354334086541601,2000,Stones River Group; Lebanon Limestone
USGS-354341096595701,2000,Oscar Group
USGS-354454097073001,2000,Alluvium
USGS-355502097012501,2000,Oscar Group
USGS-355512097010001,2000,Oscar Group
USGS-355541097024501,2000,Alluvium
USGS-355612096592101,2000,Oscar Group
USGS-355656096575001,2000,Oscar Group
USGS-355712096574601,2000,Oscar Group
USGS-355725096565601,2000,Alluvium
USGS-355729096582601,2000,Oscar Group
USGS-360159103044401,2000,Eolian deposits
USGS-361745094234902,2000,Boone Formation
USGS-363107119372201,2000,Quaternary alluvium and marine deposits
USGS-363418119384201,2000,Quaternary alluvium and marine deposits
USGS-363518101515101,2000,"Pleistocene and Pliocene deposits, undifferentiated"
USGS-363645119420901,2000,Quaternary alluvium and marine deposits
USGS-363806119345301,2000,Quaternary alluvium and marine deposits
USGS-363928119401701,2000,Quaternary alluvium and marine deposits
USGS-364846102161201,2000,Ogallala Formation
USGS-365015100441801,2000,Ogallala Formation
USGS-365029100433601,2000,Permian rocks undifferentiated
USGS-365030100452801,2000,Ogallala Formation
USGS-365059100434001,2000,Ogallala Formation
USGS-370033100534204,2000,Loess
USGS-370130101180904,2000,Loess
USGS-370941101540001,2000,Loess
USGS-371303102003001,2000,Loess
USGS-371512089110601,2000,Ft. Payne Formation
USGS-371728101311401,2000,Loess
USGS-371856089081801,2000,Ullin and Salem Limestones
USGS-371909101413101,2000,Loess
USGS-372511100155601,2000,Loess
USGS-372849106090201,2000,Unclassified surficial deposits and underlying Alamosa Fm in San Luis Valley
USGS-373234099430201,2000,Loess
USGS-373240097200101,2000,Alluvium
USGS-373346100005701,2000,Loess
USGS-373443097185501,2000,Alluvium
USGS-373553097205401,2000,Alluvium
USGS-373613097195701,2000,Alluvium
USGS-373637097213301,2000,Alluvium
USGS-373705097185901,2000,Alluvium
USGS-373721097220001,2000,Alluvium
USGS-373754105575201,2000,Unclassified surficial deposits and underlying Alamosa Fm in San Luis Valley
USGS-373839097203501,2000,Alluvium
USGS-373901097274001,2000,Alluvium
USGS-373904099545701,2000,Loess
USGS-373916106021701,2000,Unclassified surficial deposits and underlying Alamosa Fm in San Luis Valley
USGS-373925097280701,2000,Alluvium
USGS-374005101433501,2000,Loess
USGS-374037097274701,2000,Alluvium
USGS-374058097285301,2000,Alluvium
USGS-374101106035601,2000,Unclassified surficial deposits and underlying Alamosa Fm in San Luis Valley
USGS-374129097260701,2000,Alluvium
USGS-374141097284801,2000,Alluvium
USGS-374145092094299,2000,"Smithville Dolomite, Powell Dolomite, Cotter Dolomite, Jefferson City Dolomite"
USGS-374149097265101,2000,Alluvium
USGS-374152097274101,2000,Alluvium
USGS-374212097240701,2000,Alluvium
USGS-374220100422501,2000,Loess
USGS-374229097292501,2000,Alluvium
USGS-374233097264201,2000,Alluvium
USGS-374242097232701,2000,Alluvium
USGS-374257097271201,2000,Alluvium
USGS-374300097284701,2000,Alluvium
USGS-374310106032401,2000,Unclassified surficial deposits and underlying Alamosa Fm in San Luis Valley
USGS-374321097271401,2000,Alluvium
USGS-374330097264401,2000,Alluvium
USGS-374353097264201,2000,Alluvium
USGS-374359106085501,2000,Unclassified surficial deposits and underlying Alamosa Fm in San Luis Valley
USGS-374430100093801,2000,Dune Sand
USGS-374614106000701,2000,Unclassified surficial deposits and underlying Alamosa Fm in San Luis Valley
USGS-374637097275001,2000,Alluvium
USGS-374642100291701,2000,Dune Sand
USGS-374708097213601,2000,Alluvium
USGS-374728097221301,2000,Alluvium
USGS-374750101553501,2000,Loess
USGS-374757106085301,2000,Unclassified surficial deposits and underlying Alamosa Fm in San Luis Valley
USGS-374825106021301,2000,Unclassified surficial deposits and underlying Alamosa Fm in San Luis Valley
USGS-374929097244501,2000,Alluvium
USGS-374957097232501,2000,Alluvium
