"layer","zone","Background","Corn","Soybeans","Barley","Spring Wheat","Rye","Oats","Canola","Mustard","Alfalfa","Other Hay/Non Alfalfa","Buckwheat","Potatoes","Misc Vegs & Fruits","Clover/Wildflowers","Fallow/Idle Cropland","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Broccoli","Cauliflower","Blueberries","Sorghum","Sweet Corn","Dry Beans","Apples","Christmas Trees","Squash","HUC","Strawberries","Pumpkins","Other Crops","Sod/Grass Seed","Cranberries","Peppers","Tobacco","Peaches","Cucumbers","Sunflower","Other Small Grains","Grapes","Tomatoes","Peas","Other Tree Crops","Greens","Cabbage","Eggplants","Sweet Potatoes","Herbs","Winter Wheat","Pears","Plums","Onions","Lettuce","Dbl Crop WinWht/Soybeans","Watermelons","Cherries","Triticale","Carrots","Dbl Crop Barley/Soybeans","Speltz","Dbl Crop WinWht/Corn","Asparagus","Dbl Crop Oats/Corn","Dbl Crop Barley/Corn","Cotton","Peanuts","Millet","Dbl Crop WinWht/Sorghum","Mint","Sugarbeets","Radishes","Nectarines","Cantaloupes","Dbl Crop Corn/Soybeans","Turnips","Pop or Orn Corn","Switchgrass","Dbl Crop Soybeans/Oats","Aquaculture","Vetch","Dbl Crop Barley/Sorghum","Dbl Crop WinWht/Cotton","Dbl Crop Soybeans/Cotton","Pecans","Olives","Walnuts","Oranges","Rice","Sugarcane","Citrus","Celery","Flaxseed","Safflower","Rape Seed","Caneberries","Camelina","Hops","Garlic","Prunes","Gourds","Durum Wheat","Lentils","Perennial Ice/Snow ","Honeydew Melons","Pistachios","Dbl Crop Durum Wht/Sorghum","Dbl Crop Lettuce/Cotton","Dbl Crop Lettuce/Durum Wht","Dbl Crop Lettuce/Cantaloupe","Dbl Crop Lettuce/Barley","Pomegranates","Apricots","Chick Peas","Almonds"
1,1,1995,433,16,69,9,149,526,11,NA,45,605,30,331,0,165,313,495858,21520,7972,4590,1781,30643,1131072,1547898,1776120,605722,11719,458889,35201,97,1,234,0,3,0,1,3,0,"01020001",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,0,131,23,59,2,127,259,24,NA,21,949,11,144,0,136,50,167948,10753,1256,275,65,6924,444293,810102,1302166,164729,8290,288506,14500,17,0,63,0,0,0,0,1,0,"01020002",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,1300,517,1002,94,1480,5626,674,NA,260,15895,0,6057,6,2608,220,116267,61020,14299,2359,424,666,611720,790022,1738213,165929,67735,720688,23060,222,7,1812,2,0,0,3,0,0,"01020003",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,9078,2,475,4,2032,1082,13,NA,387,29487,153,2950,0,158,9777,190760,52165,12884,3867,1106,2775,827928,859686,1603274,207952,26288,310818,19668,10,0,2463,5,159,20,14,4874,0,"01020004",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,44100,38700,80,383,19,458,1825,50,NA,4616,132116,0,7774,31,789,2329,292954,183893,101711,41459,15267,6873,1005053,1398645,2356246,163301,100992,864440,97867,142,2,26244,89,34,0,302,190,3,"01020005",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1896,74,0,9,NA,52,74,1,2,56,197,24,90,0,16,226,522219,22233,7597,2420,388,9881,967507,1058982,1103798,601208,5871,276383,11424,0,NA,88,0,5,0,0,5,0,"01030001",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,743,474,18,3,NA,1,37,0,0,202,1521,0,46,0,2,35,107483,14992,3400,1449,161,17944,525507,786945,542456,380798,5899,127607,5506,0,NA,54,0,9,2,4,3,0,"01030002",0,11,1,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,80892,306,179,NA,120,590,3,0,3233,536974,1,6293,225,67,1958,435507,305082,154197,48868,15315,10610,2357439,1557276,3157849,212057,149143,743989,78209,7,NA,13293,211,433,2,1727,111,14,"01030003",1,20,96,242,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,16979,17,23,NA,101,2979,2,NA,390,175970,NA,3360,93,276,351,202577,195474,108667,42593,14361,14527,1832054,1129223,1921186,90658,133131,284635,32513,NA,NA,4690,86,498,1,1688,6,23,"01040002",1,19,192,223,16,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,777,2254,0,0,NA,0,0,0,NA,538,8088,NA,14,0,0,98,253885,31481,14799,6711,1976,6883,1140342,987780,1212665,116646,9538,145335,3014,NA,NA,0,0,58,2,2,1,0,"01040001",0,2,1,10,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1901040,116,58,131,29,34,658,7,NA,23,3085,NA,210,0,98,264,357325,29098,8522,3040,887,385,342571,623307,1030872,46578,8960,338178,31274,5,2,8458,2,0,NA,0,0,0,"01050001",NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3504367,9,0,37,0,6,31,0,NA,5,10390,NA,17,0,25,805,79070,23091,9525,2748,357,948,117828,242971,405245,48154,15589,136428,23140,0,0,36496,0,0,NA,0,0,0,"01050004",NA,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,968014,4045,4,1,1,68,78,0,NA,293,91529,NA,568,149,25,199,223931,131194,45087,10082,2357,10278,594909,494861,933870,29034,89604,209456,69298,8,0,30929,60,213,NA,128,0,10,"01050003",NA,6,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,5190224,2243,9,227,23,84,446,33,NA,235,38135,NA,612,35,237,8400,457619,182580,128872,40452,10644,24585,1004066,2384880,2544502,361718,126444,947873,162631,64,1,246741,105,3,NA,53,3,0,"01050002",NA,1,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1577,17488,0,1,NA,25,243,0,NA,545,54942,NA,5295,3,140,1025,152478,174294,67713,18651,4621,17141,1139198,953835,1813921,53743,110686,270632,28972,0,NA,12,1,445,1529,1808,13,9,"01060002",0,62,26,3921,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1022392,4970,7,2,NA,222,429,4,NA,435,78332,NA,489,171,6,232,256106,221857,130958,50062,23230,12281,345725,515830,1006128,25308,169797,184258,43489,25,NA,902,56,554,1,619,8,50,"01060001",1,36,33,1911,9,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,943661,8329,0,1,NA,22,95,0,NA,4366,84291,NA,269,26,3,783,94925,288285,184349,76777,27433,19820,653513,584111,1149875,62848,227852,465234,92092,0,NA,2,43,1292,1,934,33,31,"01060003",9,133,116,1000,3,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,15488,0,NA,NA,62,6,NA,NA,1853,29832,NA,65,8,0,934,54083,94681,96194,69133,19513,6844,656720,246792,35687,10467,82589,97769,9814,NA,NA,2,1,801,6,2853,7,122,"01070004",1,44,22,128,0,0,11,3,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,8980,32499,3,NA,NA,152,134,NA,NA,1151,77436,NA,207,15,2,1718,148998,388510,408196,316046,76006,28899,1396429,863251,741118,53428,230586,324535,70520,NA,NA,1,1,2137,29,7809,25,72,"01070006",4,213,176,770,23,0,2,3,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,8523,0,NA,NA,61,5,NA,NA,2543,9827,NA,134,152,0,638,38733,143285,144147,123197,29246,2546,356555,98573,6613,5018,42983,120541,15619,NA,NA,0,2,439,1,581,42,22,"01070005",7,43,125,244,37,5,1,0,0,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,8492,0,NA,NA,79,4,NA,NA,179,28960,NA,26,2,0,182,57246,85113,34710,10363,1380,5677,678156,494349,597364,22615,65731,92852,14871,NA,NA,1,0,135,0,71,73,0,"01070003",0,4,13,190,0,0,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,0,5946,0,NA,NA,1,4,NA,NA,414,31252,NA,32,0,0,88,76646,64958,26986,9130,1300,5337,980867,668421,971858,13985,29051,49550,4407,NA,NA,4,0,58,4,53,460,3,"01070001",2,2,0,36,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,0,3457,0,NA,NA,0,7,NA,NA,59,12896,NA,42,0,3,189,266604,72155,27333,11542,3899,3882,250038,160437,490341,10805,29114,47404,5810,NA,NA,0,0,84,1,186,45,9,"01070002",0,3,9,18,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
