"layer","zone","Background","Soybeans","Barley","Spring Wheat","Winter Wheat","Rye","Oats","Canola","Alfalfa","Other Hay/Non Alfalfa","Sugarbeets","Potatoes","Other Crops","Clover/Wildflowers","Fallow/Idle Cropland","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Broccoli","Corn","Blueberries","Speltz","Cranberries","Squash","HUC","Sweet Corn","Pumpkins","Apples","Millet","Dry Beans","Sod/Grass Seed","Christmas Trees","Tobacco","Other Small Grains","Grapes","Misc Vegs & Fruits","Peppers","Strawberries","Sunflower","Other Tree Crops","Tomatoes","Herbs","Sorghum","Asparagus","Cabbage","Eggplants","Peaches","Dbl Crop Lettuce/Barley","Onions","Peas","Gourds","Cherries","Dbl Crop WinWht/Soybeans","Vetch","Dbl Crop Oats/Corn","Triticale","Carrots","Plums","Apricots","Nectarines","Dbl Crop WinWht/Sorghum","Dbl Crop Barley/Soybeans","Sweet Potatoes","Cantaloupes","Lettuce","Dbl Crop Barley/Corn","Cotton","Peanuts","Dbl Crop WinWht/Corn","Dbl Crop Soybeans/Oats","Watermelons","Greens","Dbl Crop Barley/Sorghum","Turnips","Dbl Crop Corn/Soybeans","Switchgrass","Pop or Orn Corn","Walnuts","Durum Wheat","Pecans","Aquaculture","Dbl Crop WinWht/Cotton","Dbl Crop Soybeans/Cotton","Honeydew Melons","Oranges","Camelina","Rice","Sugarcane","Citrus","Mustard","Celery","Radishes","Prunes","Mint","Flaxseed","Safflower","Lentils","Perennial Ice/Snow ","Pistachios","Rape Seed","Olives","Dbl Crop Durum Wht/Sorghum","Dbl Crop Lettuce/Cotton","Hops","Garlic","Almonds","Dbl Crop Lettuce/Durum Wht","Dbl Crop Lettuce/Cantaloupe","Cauliflower","Pears","Caneberries","Cucumbers","Pomegranates"
1,1,1995,4,308,0,0,94,35,0,10,907,NA,339,0,104,6,507344,21612,7500,5204,1370,29298,1178914,1535870,1736840,786724,2994,280690,35356,193,211,71,17,0,8,"01020001",2,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,0,0,104,0,2,81,48,0,0,1281,NA,181,0,9,5,169471,10677,1234,298,93,6548,435898,847868,1319225,208945,6322,199611,13869,12,5,37,0,0,0,"01020002",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,34,1988,148,18,1325,2326,0,28,17717,NA,6540,124,387,5,114646,57657,15106,2374,347,692,611255,846474,1805280,177830,85210,574862,26027,223,965,594,1,0,0,"01020003",0,0,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,4,2956,0,0,9,161,0,85,64571,NA,1661,0,20,2303,190442,49935,13618,3722,1197,3273,893573,940202,1547868,255704,1116,176632,24046,16,6817,1586,48,1,3,"01020004",23,0,365,4,167,1,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,44100,9,758,1,2,373,408,2,949,219385,NA,5718,5,54,1411,291594,177819,103671,36164,16535,9273,1061132,1509765,2461047,173462,20870,593482,100875,276,33374,25714,26,0,5,"01020005",113,0,421,2,50,0,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1896,2,211,0,0,13,21,NA,72,3781,NA,83,0,0,96,525206,22215,7975,1712,465,10244,977804,1032167,1099932,707361,264,188395,10675,8,2003,43,62,9,2,"01030001",1,0,2,1,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,743,9,3,1,0,22,42,NA,194,3271,NA,376,0,0,32,116460,15012,3603,1082,199,7204,561858,803575,508832,386095,298,104270,7838,0,2266,16,8,0,1,"01030002",3,2,3,0,1,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,872,179,0,10,84,347,NA,2081,670725,NA,3981,13,52,1809,429254,288633,152851,44009,15744,8922,2359535,1685276,3307785,231924,59488,445700,83962,1,72952,4566,109,47,42,"01030003",315,5,577,32,482,16,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,61,8,NA,11,7,705,NA,255,265067,NA,3830,8,1,730,200680,191883,112070,38848,14543,16582,1789079,1243854,1989302,97672,25038,171984,29401,NA,15902,424,6,60,18,"01040002",463,9,993,NA,9,96,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,777,9,0,NA,0,1,12,NA,459,11651,NA,171,6,0,97,255469,31415,14946,5948,2139,3207,1152626,1041765,1186064,123152,769,104619,5751,NA,1803,0,0,0,9,"01040001",13,4,0,NA,0,20,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1901040,28,193,2,5,250,206,NA,3,4001,NA,440,144,186,163,351442,29706,7873,2538,729,418,352253,692309,1059313,45356,8462,241836,33083,27,198,2910,0,2,0,"01050001",0,0,101,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3504367,31,70,0,1,46,3,NA,0,6258,NA,30,11,31,650,73223,24639,8466,2138,375,1109,119984,265260,435560,52084,6196,105270,30672,5,6,20786,0,13,0,"01050004",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,968014,13,47,0,5,2,28,NA,245,164533,NA,165,0,2,489,226889,126962,45363,8742,2460,9272,673904,468960,962765,27061,17485,130062,66633,2,3753,35350,8,39,135,"01050003",329,14,94,2,462,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,5190224,0,47,10,2,215,132,NA,32,72372,NA,43,11,267,997,450450,178764,130218,37229,9337,25496,1032429,2491501,2701772,376992,12880,745855,165525,12,3136,238774,2,31,0,"01050002",0,6,3,0,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1577,14,5,2,1,22,123,NA,724,119162,NA,2968,20,2,4548,150609,173043,67783,16210,4572,18227,1156633,1037584,1852557,93638,3091,144501,30081,NA,13801,6,1,15,24,"01060002",77,5,1938,NA,0,1426,1,4,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1022392,5,3,0,2,12,36,NA,125,180109,NA,182,7,0,3407,251480,219657,133006,45327,23294,12827,316368,586078,1080338,56905,5218,104581,48966,NA,4634,253,1,255,9,"01060001",163,0,533,NA,2,730,10,0,0,15,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,943661,2,0,2,2,40,133,NA,8230,196676,NA,116,88,0,951,94514,288284,189432,69805,27410,26276,625492,652838,1395302,130876,3628,218552,89011,NA,7976,2,0,174,16,"01060003",143,9,2727,NA,0,162,9,0,5,2,1,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,29,NA,1,4,138,9,NA,3406,67404,NA,299,200,0,1752,53066,95600,96746,65595,20142,9558,693244,256418,46711,16703,6370,65069,9178,NA,16398,10,NA,13,72,"01070004",2099,104,5845,NA,8,192,100,18,0,3,4,18,8,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,8980,32,NA,3,0,207,33,NA,4762,182008,NA,182,320,0,4338,149306,384856,423295,301664,75894,35090,1603805,906973,702936,84054,9511,196092,67527,NA,31951,94,NA,154,314,"01070006",1532,55,3493,NA,2,317,158,72,1,0,4,16,44,1,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,72,NA,0,0,36,8,NA,1706,30775,NA,147,20,0,1286,37106,141887,150079,118885,28849,3526,396806,109048,3460,9382,2450,88754,17460,NA,6139,16,NA,159,79,"01070005",626,16,1534,NA,0,83,30,36,0,3,1,20,7,1,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,135,NA,0,0,58,30,NA,1050,52105,NA,29,44,0,1607,57963,84579,35192,9378,1215,6804,723460,536275,575973,34826,2676,53805,13717,NA,6914,108,NA,4,14,"01070003",122,20,682,NA,2,19,19,3,0,0,2,0,13,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,0,79,NA,1,0,4,12,NA,128,44303,NA,21,8,4,446,76775,64438,26944,8356,1183,4754,952033,672932,1025518,25731,1853,29093,2969,NA,3142,12,NA,0,1,"01070001",34,2,43,NA,0,14,13,2,1,0,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,0,2,NA,11,0,3,1,NA,44,30620,NA,8,8,0,257,265731,70902,27267,11163,3790,4382,224176,185453,514765,23768,674,26905,4848,NA,1437,6,NA,2,9,"01070002",46,1,51,NA,0,28,4,8,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,103,4,2,1,281,48,NA,17885,27785,NA,409,15,0,7314,53551,146237,87260,35582,7621,2738,1049247,110139,132143,10730,3299,32303,3693,NA,11236,224,NA,0,364,"01080207",2504,369,370,NA,1,65,44,1634,0,0,12,51,142,0,6,11,0,3,16,26,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
