"layer","zone","Background","Corn","Soybeans","Barley","Rye","Oats","Canola","Alfalfa","Other Hay/Non Alfalfa","Buckwheat","Potatoes","Clover/Wildflowers","Fallow/Idle Cropland","Apples","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Broccoli","Blueberries","Cranberries","Spring Wheat","Winter Wheat","Other Crops","Christmas Trees","Sweet Corn","Other Tree Crops","Strawberries","Pumpkins","HUC","Dry Beans","Triticale","Sunflower","Camelina","Squash","Lettuce","Sorghum","Sod/Grass Seed","Tobacco","Speltz","Peaches","Other Small Grains","Misc Vegs & Fruits","Onions","Gourds","Peppers","Cucumbers","Tomatoes","Herbs","Pears","Cabbage","Eggplants","Caneberries","Durum Wheat","Grapes","Asparagus","Dbl Crop WinWht/Soybeans","Cherries","Radishes","Plums","Peas","Nectarines","Dbl Crop Barley/Soybeans","Greens","Sweet Potatoes","Watermelons","Dbl Crop WinWht/Corn","Dbl Crop Oats/Corn","Dbl Crop Soybeans/Oats","Cotton","Mint","Carrots","Dbl Crop WinWht/Sorghum","Dbl Crop Barley/Corn","Turnips","Cantaloupes","Pop or Orn Corn","Dbl Crop Corn/Soybeans","Millet","Sugarbeets","Peanuts","Pecans","Aquaculture","Dbl Crop WinWht/Cotton","Switchgrass","Rice","Rape Seed","Walnuts","Sugarcane","Citrus","Oranges","Celery","Safflower","Vetch","Cauliflower","Garlic","Flaxseed","Mustard","Lentils","Perennial Ice/Snow ","Honeydew Melons","Pistachios","Olives","Dbl Crop Lettuce/Cantaloupe","Dbl Crop Lettuce/Cotton","Dbl Crop Lettuce/Durum Wht","Dbl Crop Durum Wht/Sorghum","Almonds","Hops","Apricots","Pomegranates"
1,1,1995,341,458,271,104,392,19,479,2313,58,347,3643,38,16,505858,20797,8360,4107,1355,29586,1134912,1544732,1805129,564275,9888,466356,27782,157,233,0,7,0,4,2,0,1,NA,4,"01020001",2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,0,84,31,202,14,76,6,155,1165,17,290,3560,15,0,170523,10545,1278,135,17,5990,458253,819147,1287825,164931,7706,280493,9257,87,17,4,0,0,0,0,0,0,NA,0,"01020002",1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,702,66,3651,253,2353,1202,575,13249,0,6605,28835,18,2,114159,59474,13867,1889,446,2606,607213,766507,1742639,177022,43142,744128,16365,694,2340,0,184,0,0,0,0,0,NA,0,"01020003",0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,8261,952,476,244,1138,6,2664,87523,3,2755,2935,4196,17,191723,48590,12838,3781,1082,1636,860765,851854,1542447,203186,13001,319174,16957,66,2252,7,82,43,3,1596,2,0,NA,0,"01020004",11,10,16,21,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,44100,40272,238,627,770,1669,71,9839,280814,5,7924,8763,866,311,299323,163926,100965,39647,15485,3482,1000651,1338502,2352109,140244,47122,869853,86361,456,34238,7,44,2,32,44,24,0,NA,1,"01020005",129,0,24,38,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1896,657,408,79,2,436,2,690,2316,18,19,81,32,59,520944,21547,8284,1829,448,10697,937100,1088153,1144171,564006,5111,274370,9217,54,35,0,0,23,38,0,0,3,NA,1,"01030001",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,743,697,0,0,0,2,0,49,3858,0,20,0,90,7,106611,14710,3510,1265,192,13502,529766,782379,578375,356879,4297,118063,8195,0,0,0,0,0,107,0,0,1,NA,0,"01030002",0,0,0,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,85685,572,141,415,2194,0,16354,837622,0,6594,866,764,1476,431994,275197,142643,44009,14600,6418,2280346,1561915,3149151,186367,54558,695803,67588,46,7185,22,20,18,393,709,213,9,NA,14,"01030003",4,118,79,215,44,32,1,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,21468,485,24,39,4579,NA,2510,327249,NA,4191,69,1458,5166,199653,182789,107191,40098,14137,10454,1819427,1079386,1941247,84212,54665,277181,28327,31,1899,15,NA,65,151,60,834,2,0,47,"01040002",NA,NA,20,5,18,22,NA,428,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,777,3968,0,0,16,32,NA,387,16528,NA,115,0,341,3,256448,30850,14680,6318,2055,2287,1137043,997384,1212843,118364,5261,134673,2274,0,0,0,NA,0,211,4,18,0,1,8,"01040001",NA,NA,0,0,3,0,NA,7,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1901040,176,15,475,56,418,3,155,4559,NA,205,957,76,0,354296,28196,8535,2844,758,151,353623,625517,1013403,50675,8958,335432,28045,42,16599,0,8,0,0,0,0,NA,NA,0,"01050001",0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3504367,9,1,6,1,6,0,10,24305,NA,1,19,1570,0,75694,21748,8925,2679,299,249,99502,228340,433752,37133,13899,130847,21195,1,52726,0,0,0,0,0,0,NA,NA,0,"01050004",0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,968014,4875,12,11,19,99,0,1755,173955,NA,247,71,222,258,229428,124119,44966,9834,2435,5566,566666,494919,916946,22025,45524,222586,63158,80,41938,27,0,2,2,64,322,NA,NA,2,"01050003",1,0,14,12,35,86,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,5190224,2734,82,489,485,419,26,413,85477,NA,782,1442,1942,10,467325,168593,123329,39452,7988,17475,998543,2379014,2504967,333595,84307,949807,147930,217,357682,8,23,0,0,2,0,NA,NA,0,"01050002",2,1,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1577,23824,11,1,41,204,NA,899,131472,NA,5972,0,752,4169,150401,170508,66538,17292,4521,11561,1163446,952903,1738257,67965,50099,294377,31013,6,55,1,0,1,2961,130,393,8,23,254,"01060002",NA,0,0,0,8,2,0,3325,7,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1022392,9744,176,4,11,2660,NA,952,191311,NA,944,32,691,2109,256193,212356,128726,49415,22667,9373,324306,497222,1005460,30222,87717,198881,37628,141,3163,29,3,0,10,80,422,1,26,119,"01060001",NA,1,35,106,27,227,0,1348,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,943661,17194,0,0,1,91,NA,5648,196716,NA,29,0,640,5006,100080,280851,184390,73401,26786,10988,644278,570317,1151728,77996,131014,465047,83455,0,75,11,0,0,12,65,983,0,13,496,"01060003",NA,0,1,1,6,21,90,1472,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,13893,135,0,85,2,NA,342,63402,NA,70,NA,1257,8947,53909,91724,94996,69274,19271,4232,636341,268187,35257,9373,62212,88811,8532,NA,2,0,NA,7,163,19,1221,NA,5,357,"01070004",NA,0,NA,NA,16,6,0,225,80,0,159,1,10,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,8980,39846,151,9,351,48,NA,2254,188704,NA,206,NA,10252,9933,151584,374497,409476,315924,76705,15857,1443027,888305,649943,47642,146255,333115,60347,NA,152,8,NA,7,425,66,2451,NA,75,724,"01070006",NA,5,NA,NA,39,9,17,2560,55,2,33,0,25,23,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,5909,35,0,43,3,NA,642,28465,NA,29,NA,350,1924,39821,139545,145894,122915,28909,1737,367623,104674,5087,5442,35170,101507,13880,NA,11,14,NA,0,55,3,346,NA,0,57,"01070005",NA,0,NA,NA,9,0,2,164,15,0,175,0,39,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,10416,15,37,25,0,NA,304,61730,NA,18,NA,1528,111,57122,83634,32961,10648,1259,5143,686425,500701,584511,15225,50097,82636,13715,NA,31,1,NA,0,72,171,132,NA,5,65,"01070003",NA,1,NA,NA,4,0,1,95,3,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,0,7390,9,21,49,0,NA,222,59072,NA,180,NA,595,58,77782,61520,26939,8919,1215,4502,941380,669156,1007922,9165,15816,44306,3584,NA,1,0,NA,0,256,386,179,NA,6,64,"01070001",NA,0,NA,NA,2,0,1,130,5,7,13,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,0,4737,12,3,27,0,NA,177,34047,NA,34,NA,611,388,266654,69009,27292,11673,3826,2894,240760,162827,491904,11693,14524,47216,5837,NA,0,0,NA,0,51,10,58,NA,4,16,"01070002",NA,0,NA,NA,4,2,0,62,2,3,15,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,11984,97,14,1214,227,NA,13824,27294,NA,426,1,2292,202,54453,143861,85188,36640,7655,2397,1009910,100732,130477,6470,43652,54698,2900,NA,261,0,0,6,69,65,2636,0,9,391,"01080207",70,0,1,NA,1072,3,5,59,2484,0,19,0,802,16,0,87,321,471,9,2,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,8011,60135,184,22,3409,176,NA,50484,68590,NA,818,12,7437,1615,93603,358473,335375,206464,43685,4057,1493613,37844,23336,14483,119833,131404,23123,NA,70,2,0,3,8473,192,8037,0,31,1588,"01080205",112,0,3,NA,1195,9,2,838,11311,0,310,1,731,11,334,178,410,1021,13,24,9,50,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
