"layer","zone","Background","Corn","Soybeans","Barley","Spring Wheat","Rye","Oats","Canola","Alfalfa","Other Hay/Non Alfalfa","Buckwheat","Dry Beans","Potatoes","Peas","Clover/Wildflowers","Fallow/Idle Cropland","Christmas Trees","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Triticale","Broccoli","Cauliflower","Radishes","Blueberries","Sorghum","Speltz","HUC","Apples","Misc Vegs & Fruits","Sweet Corn","Cranberries","Sod/Grass Seed","Aquaculture","Other Crops","Herbs","Squash","Pumpkins","Tomatoes","Pears","Cabbage","Grapes","Strawberries","Tobacco","Winter Wheat","Peaches","Peppers","Sunflower","Sugarbeets","Greens","Carrots","Dbl Crop WinWht/Corn","Vetch","Plums","Other Tree Crops","Dbl Crop WinWht/Soybeans","Millet","Onions","Cucumbers","Nectarines","Dbl Crop Barley/Soybeans","Dbl Crop Oats/Corn","Cherries","Gourds","Sweet Potatoes","Dbl Crop Barley/Corn","Cotton","Peanuts","Dbl Crop WinWht/Sorghum","Dbl Crop Soybeans/Oats","Other Small Grains","Watermelons","Asparagus","Turnips","Eggplants","Rape Seed","Cantaloupes","Switchgrass","Pop or Orn Corn","Caneberries","Hops","Flaxseed","Dbl Crop Corn/Soybeans","Pecans","Dbl Crop WinWht/Cotton","Rice","Honeydew Melons","Oranges","Sugarcane","Olives","Citrus","Durum Wheat","Camelina","Mint","Walnuts","Celery","Garlic","Safflower","Mustard","Lentils","Perennial Ice/Snow ","Pistachios","Lettuce","Almonds","Apricots","Pomegranates"
1,1,1995,13,0,14,0,72,97,0,11,1164,3,0,20,0,42,15,15,488301,21410,8595,4602,1899,51219,1165381,1681978,1648112,553484,2080,476138,27355,2,0,0,1,1,NA,NA,"01020001",2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,0,2,14,2,0,58,94,0,16,1867,1,1,360,0,24,4,0,177648,10963,1257,219,103,5099,464680,849155,1280612,142168,1514,279163,6791,0,0,0,9,0,NA,NA,"01020002",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,1582,451,1927,64,3818,7794,34,129,31744,3,48,4815,27,2891,25,0,118993,61004,15515,2808,500,1707,612418,840935,1721693,135275,27580,736366,19019,0,546,41,420,15,NA,NA,"01020003",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,5447,0,24,0,68,140,0,1902,57944,1,117,957,0,892,257,151,198754,51280,14420,3936,1332,3764,848028,931790,1540325,171193,1413,333867,14125,0,0,0,0,103,NA,NA,"01020004",68,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,44100,28253,107,365,9,1026,277,0,3714,209874,0,63,5034,8,533,253,14,306714,177123,101407,44321,17037,11575,1023810,1390791,2308951,157858,13507,931788,98606,0,72,3,41,11452,NA,NA,"01020005",280,1,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1896,24,0,NA,0,0,0,NA,1,1097,NA,0,1,NA,0,51,0,524510,22351,8780,2324,588,12847,954652,1199428,1000906,531381,3783,317658,10443,NA,NA,NA,0,2,NA,NA,"01030001",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,743,12,0,NA,0,0,0,NA,2,912,NA,0,0,NA,0,2,0,109811,15858,4486,2204,383,14609,541813,779046,529681,378061,2885,136840,5975,NA,NA,NA,0,0,NA,NA,"01030002",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,69038,122,NA,1,354,33,NA,4993,605239,NA,11,962,NA,48,2150,92,448459,302886,154158,49850,16463,13340,2326091,1557152,3234589,214093,26307,778271,65622,NA,NA,NA,31,872,NA,NA,"01030003",607,627,44,11,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,17638,40,NA,NA,65,NA,NA,441,226611,NA,NA,0,NA,3,361,36,207360,193508,110735,44414,15739,18812,1831377,1142794,1966543,85943,20170,298138,24956,NA,NA,NA,453,375,NA,NA,"01040002",2046,273,661,4,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,777,709,20,NA,NA,0,NA,NA,305,7224,NA,NA,3,NA,0,15,1,257332,30710,14607,6014,2071,9132,1142161,949288,1169266,186506,8273,156360,2002,NA,NA,NA,2,112,NA,NA,"01040001",8,2,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1901040,347,2,92,13,125,392,NA,15,2863,NA,3,132,NA,149,1,1,363963,28503,8586,4151,693,657,356129,635292,1004906,49274,2235,348791,25056,NA,11,8,5,1782,NA,NA,"01050001",0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3504367,580,0,2,3,199,196,NA,25,1342,NA,0,22,NA,47,0,0,79631,22301,10095,3906,279,666,125732,237496,437637,35599,10661,148364,20351,NA,1,0,0,17782,NA,NA,"01050004",0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,968014,1772,0,0,0,0,3,NA,34,116924,NA,0,1,NA,1,266,10,228618,130366,45427,11705,2856,12656,599378,459348,927844,37060,25183,275432,74200,NA,0,0,0,20255,NA,NA,"01050003",18,1103,6,13,NA,1806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,5190224,958,5,62,37,1164,874,NA,159,42144,NA,0,491,NA,472,108,14,481513,175161,131377,45769,10606,25738,1062198,2278741,2635082,382809,35047,1008499,148809,NA,85,1,0,206536,NA,NA,"01050002",2,82,0,19,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1577,12297,22,NA,0,7,NA,NA,902,86063,NA,NA,1,NA,0,1671,22,160395,174352,67752,20967,4897,22180,1110680,960294,1873944,78096,15443,274155,19585,NA,NA,NA,0,266,NA,NA,"01060002",2168,106,7,1,7147,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1022392,3158,0,NA,1,42,NA,NA,730,130784,NA,NA,6,NA,1,176,7,259182,221192,133342,54844,24826,16468,317070,517064,1059155,46946,34749,206009,46632,NA,NA,NA,21,466,NA,NA,"01060001",991,137,28,86,415,10,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,943661,5468,0,NA,0,27,NA,NA,5735,142160,NA,NA,3,NA,0,506,4,99416,286370,186539,80438,28668,30263,548688,562134,1329906,98161,41557,491595,88886,NA,NA,NA,0,325,NA,NA,"01060003",1758,104,29,1,63,0,2,37,2,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,6056,2,NA,NA,14,NA,NA,213,56527,NA,NA,12,NA,NA,596,31,56348,94674,94142,72379,19579,12608,684097,262697,30675,12231,17191,94973,9592,0,NA,NA,NA,0,6,NA,"01070004",5441,156,2182,2,43,NA,0,13,33,9,7,3,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,8980,18045,1,NA,NA,129,NA,NA,1701,146955,NA,NA,28,NA,NA,1724,125,159412,397984,418436,325004,81697,37292,1493548,869025,724254,71806,30548,329928,56364,164,NA,NA,NA,26,385,NA,"01070006",4211,288,1642,9,154,NA,2,40,102,45,4,8,6,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,2924,40,NA,NA,39,NA,NA,695,19443,NA,NA,13,NA,NA,763,76,41153,141833,147542,131013,31271,5075,362554,96291,2903,3516,8590,140730,11487,2,NA,NA,NA,0,10,NA,"01070005",1879,80,432,72,44,NA,0,3,14,8,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,3826,0,NA,NA,5,NA,NA,313,50382,NA,NA,6,NA,NA,51,11,60736,86007,34796,10197,1305,7653,690465,549875,551982,34887,7958,97808,9828,0,NA,NA,NA,4,234,NA,"01070003",361,34,85,0,20,NA,4,2,0,0,0,0,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,0,1971,3,NA,NA,0,NA,NA,763,38234,NA,NA,1,NA,NA,183,1,79884,62331,27142,10482,1362,5746,939356,673885,1013811,31624,3413,47541,2238,0,NA,NA,NA,0,54,NA,"01070001",67,710,26,0,23,NA,2,0,0,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,0,838,0,NA,NA,3,NA,NA,100,21921,NA,NA,0,NA,NA,27,4,269089,71624,27575,13078,4088,4399,222957,143061,533103,21708,5665,53635,3410,0,NA,NA,NA,13,6,NA,"01070002",41,16,8,0,1,NA,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,7961,4,0,0,255,14,NA,22692,8471,NA,1,94,21,NA,7390,13,59871,149729,83373,38478,8942,3675,1037017,88192,140147,2323,4403,71731,3160,2,55,NA,0,486,0,NA,"01080207",219,1,2427,1,1,NA,0,0,2530,164,3,34,0,0,0,1467,27,5,94,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,8011,46951,363,5,0,2508,250,NA,84693,12563,NA,139,281,22,NA,21698,185,104882,370083,331000,216792,49900,9196,1582010,35133,20844,11160,11922,154104,21871,499,32,NA,0,307,16,NA,"01080205",1773,16,7302,1,374,NA,6,2,6101,626,3,35,0,95,2,7102,54,38,14,176,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,40541,461,300,0,1173,177,NA,4994,95732,NA,9,16553,0,NA,24343,21,74971,155989,106937,64815,18085,4847,1153308,631627,369226,9477,11688,121545,5486,67,0,NA,0,99,5,NA,"01080201",289,2,6215,0,335,NA,3,93,7946,833,0,0,19,0,0,630,366,0,3,0,308,97,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
