"layer","zone","Background","Corn","Sorghum","Soybeans","Sunflower","Sweet Corn","Barley","Spring Wheat","Rye","Oats","Millet","Mustard","Alfalfa","Other Hay/Non Alfalfa","Buckwheat","Potatoes","Misc Vegs & Fruits","Peas","Clover/Wildflowers","Sod/Grass Seed","Fallow/Idle Cropland","Christmas Trees","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Broccoli","Pumpkins","Blueberries","Radishes","Turnips","Canola","Apples","Dry Beans","Tobacco","Winter Wheat","Switchgrass","Cabbage","HUC","Cranberries","Grapes","Strawberries","Peaches","Squash","Durum Wheat","Tomatoes","Peppers","Greens","Other Crops","Triticale","Carrots","Herbs","Pears","Dbl Crop Barley/Corn","Sweet Potatoes","Cucumbers","Aquaculture","Onions","Dbl Crop Triticale/Corn","Other Tree Crops","Dbl Crop WinWht/Soybeans","Sugarbeets","Watermelons","Cantaloupes","Plums","Dbl Crop WinWht/Sorghum","Dbl Crop Barley/Soybeans","Speltz","Walnuts","Dbl Crop WinWht/Corn","Cherries","Hops","Nectarines","Pop or Orn Corn","Asparagus","Dbl Crop Oats/Corn","Dbl Crop Corn/Soybeans","Eggplants","Cotton","Peanuts","Dbl Crop Soybeans/Oats","Gourds","Mint","Cauliflower","Rape Seed","Rice","Lettuce","Pecans","Dbl Crop WinWht/Cotton","Honeydew Melons","Sugarcane","Citrus","Olives","Oranges","Garlic","Vetch","Avocados","Celery","Other Small Grains","Flaxseed","Safflower","Chick Peas","Lentils","Perennial Ice/Snow ","Camelina","Pistachios","Apricots","Dbl Crop Lettuce/Barley","Dbl Crop Lettuce/Cantaloupe","Dbl Crop Lettuce/Cotton","Almonds","Caneberries","Pomegranates"
1,1,1995,367,0,0,0,3,78,9,113,83,0,2,113,2486,0,382,228,3,59,0,22,12,521137,67073,24824,13219,2945,16309,1026881,1809126,1932069,155740,17095,482829,58664,24,2,113,0,0,2,3,NA,2,2,5,NA,"01020001",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,0,102,0,0,0,2,68,4,72,128,0,9,72,2390,3,639,93,5,141,0,0,8,177204,39485,7483,2354,441,5354,412881,832961,1349101,33672,9033,330339,17722,21,0,35,0,2,0,0,NA,0,0,0,NA,"01020002",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,648,27,55,84,74,515,36,1638,7944,1,50,1527,52707,9,7763,6,262,265,0,252,103,119484,75318,21879,7105,1383,1302,531638,741989,1827786,24610,35697,865136,19955,343,4,2444,86,4,52,5,NA,0,0,0,NA,"01020003",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,7930,1,0,0,13,3,2,64,53,0,0,3955,50798,1,1395,24,0,461,11,144,1213,197699,83536,26077,10971,2478,2457,756933,907489,1680701,41055,19827,372168,14531,6,0,186,0,0,0,125,NA,0,0,1,NA,"01020004",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,44100,28514,1,9,55,31,91,7,541,392,1,3,4256,201982,1,6384,53,134,49,5,219,132,303448,156673,121074,67758,23177,12796,903741,1363488,2485001,32995,56666,999591,62348,83,51,12860,1,6,3,233,NA,0,11,0,NA,"01020005",2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1896,375,0,2,0,19,19,0,27,15,NA,0,39,1539,0,138,137,NA,1,8,32,12,529887,72845,26548,11003,1642,2948,838584,1256473,1377811,102762,27224,313423,27252,5,2,21,0,NA,NA,20,NA,7,1,3,NA,"01030001",6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,743,247,0,0,0,2,5,0,8,1,NA,0,32,1226,0,27,19,NA,0,7,9,4,122858,37249,13393,6771,821,1528,449361,894347,774031,58896,5979,145649,10046,2,0,49,0,NA,NA,10,NA,1,0,0,NA,"01030002",1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,72176,11,4,3,93,18,5,788,74,NA,1,8769,544498,3,3013,204,NA,5,42,525,515,441805,293716,194675,94137,25884,14418,2121295,1472241,3460587,99469,143993,822445,52471,12,13,1260,1,NA,NA,3274,NA,13,73,0,NA,"01030003",1,17,0,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,21360,NA,5,NA,324,68,NA,143,19,NA,NA,989,190500,NA,3680,54,NA,5,90,155,44,203932,190122,134707,76314,22604,18019,1648094,1124394,2098171,47953,79481,316922,26246,3,11,968,1,NA,NA,4156,NA,34,14,8,NA,"01040002",2,13,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,777,1327,NA,3,NA,8,12,NA,4,1,NA,NA,413,7445,NA,21,25,NA,0,24,23,3,264663,67763,29548,13157,3286,2616,1025909,953841,1345010,44354,5696,173318,3573,2,0,37,0,NA,NA,37,NA,6,3,0,NA,"01040001",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1901040,245,0,7,1,5,13,3,98,221,NA,0,109,4966,0,55,1,0,26,0,366,5,360402,63564,17042,7659,1646,887,311974,613808,1049864,10947,7200,356557,22492,24,0,3988,0,NA,0,2,NA,NA,NA,0,NA,"01050001",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3504367,182,0,0,1,16,23,0,19,12,NA,0,39,8076,0,14,8,2,18,0,439,0,79495,26367,15555,6721,857,1318,94526,229351,498521,4558,6104,144010,18395,4,0,18286,0,NA,0,0,NA,NA,NA,0,NA,"01050004",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,968014,2375,2,1,2,14,21,0,74,28,NA,0,133,86181,0,337,29,3,5,9,99,31,230422,133746,67437,23928,5041,8900,533787,432143,1012661,11131,76975,258189,68471,0,0,19826,1,NA,0,96,NA,NA,NA,8,NA,"01050003",NA,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,5190224,1642,1,2,27,14,75,6,233,261,NA,8,377,42164,9,510,77,1,102,0,1699,43,487087,178065,164009,77483,15790,22000,879657,2347644,2997846,65694,60283,975058,134658,13,2,221917,2,NA,8,21,NA,NA,NA,2,NA,"01050002",NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1577,13168,0,6,1,245,41,2,24,179,NA,0,463,71864,NA,5956,133,NA,1,963,415,43,153759,170721,95784,42532,9135,22929,1026621,905401,1953411,38719,57747,303027,17859,0,17,393,NA,NA,NA,1726,NA,84,8,16,NA,"01060002",0,1,3,1,11,2,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1022392,4608,2,6,2,77,19,0,40,87,NA,2,283,106016,NA,336,98,NA,0,207,157,14,255600,206612,159469,94361,36165,15768,265449,481635,1099783,14411,80367,207884,42897,0,12,993,NA,NA,NA,1125,NA,4,2,10,NA,"01060001",1,4,0,0,12,1,19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,943661,6367,0,0,8,687,38,1,49,64,NA,0,3169,103818,NA,214,154,NA,0,636,388,10,97218,243868,217222,136563,46375,27410,420367,515631,1481219,27781,110440,511097,76597,2,36,504,NA,NA,NA,891,NA,12,4,38,NA,"01060003",0,5,0,5,9,3,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,6547,1,4,0,1553,3,4,32,49,0,NA,479,51315,NA,52,544,2,1,117,524,16,53407,78978,105364,92774,32983,10726,328838,191804,413006,7328,35551,112305,5180,10,109,125,NA,NA,NA,2605,0,100,1,14,7,"01070004",NA,2,0,6,12,1,48,1,0,5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,8980,17595,0,7,1,2140,21,6,92,195,0,NA,1254,127073,NA,272,793,0,1,421,868,96,148289,347076,439184,403521,130150,36189,783125,678764,1474439,47205,88386,403855,37375,8,152,342,NA,NA,NA,1960,1,131,2,43,13,"01070006",NA,7,4,7,23,7,13,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,3097,0,46,10,775,2,7,12,61,0,NA,314,19315,NA,39,266,0,5,54,352,24,36134,112279,152341,158652,54030,3382,211562,74936,143896,1894,16508,153230,6033,22,48,64,NA,NA,NA,978,0,14,0,59,3,"01070005",NA,11,0,5,11,2,15,0,1,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,3881,0,2,0,76,12,6,7,5,0,NA,273,40293,NA,56,43,0,0,64,197,19,56969,84296,47193,23005,3623,8136,425735,405102,901807,31964,27977,131019,6607,0,11,88,NA,NA,NA,334,0,28,0,0,0,"01070003",NA,1,4,2,2,0,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,0,1183,1,0,0,27,10,0,11,14,1,NA,248,34334,NA,49,377,0,0,21,78,130,79821,82579,46054,21744,3022,6274,856057,610168,1097601,23863,19037,55632,2300,0,10,46,NA,NA,NA,134,0,22,1,0,0,"01070001",NA,0,0,0,3,0,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,0,563,4,0,0,26,7,0,5,11,0,NA,67,20185,NA,31,72,0,0,29,43,22,268533,80961,50003,25455,6750,4633,191376,129555,533583,12331,14827,54273,2774,0,7,127,NA,NA,NA,103,0,14,0,0,0,"01070002",NA,0,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,10482,3,233,0,1254,5,1,89,7,0,0,881,25492,0,208,72,NA,0,60,1530,104,50789,144296,93679,54661,15443,2600,595578,50801,577123,1507,21293,87996,3282,NA,192,164,NA,NA,NA,325,0,5172,2,0,0,"01080207",NA,4,1,2,98,0,1,2,0,34,0,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,8011,50223,25,376,14,6084,32,0,333,24,0,0,13657,75305,0,866,893,NA,28,552,8452,238,94510,343920,336503,269373,80399,6635,1326431,20362,164464,4172,54701,213570,22327,NA,2292,327,NA,NA,NA,2013,0,13064,11,3,4,"01080205",NA,36,2,263,271,4,3,36,0,206,0,0,9,3,117,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
