"layer","zone","Background","Corn","Soybeans","Barley","Spring Wheat","Winter Wheat","Rye","Oats","Canola","Mustard","Alfalfa","Other Hay/Non Alfalfa","Buckwheat","Potatoes","Misc Vegs & Fruits","Peas","Clover/Wildflowers","Sod/Grass Seed","Fallow/Idle Cropland","Christmas Trees","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Broccoli","Blueberries","Turnips","Sorghum","Sweet Corn","Millet","Apples","Cauliflower","Squash","Other Tree Crops","HUC","Switchgrass","Cranberries","Tobacco","Other Crops","Grapes","Pumpkins","Sunflower","Aquaculture","Dry Beans","Peppers","Peaches","Strawberries","Tomatoes","Cabbage","Herbs","Triticale","Plums","Pears","Durum Wheat","Onions","Cherries","Dbl Crop WinWht/Corn","Dbl Crop Triticale/Corn","Pop or Orn Corn","Dbl Crop WinWht/Soybeans","Speltz","Sweet Potatoes","Watermelons","Asparagus","Greens","Dbl Crop Oats/Corn","Dbl Crop WinWht/Sorghum","Dbl Crop Barley/Corn","Dbl Crop Barley/Soybeans","Carrots","Cucumbers","Nectarines","Gourds","Dbl Crop Soybeans/Oats","Eggplants","Cotton","Peanuts","Cantaloupes","Sugarbeets","Rape Seed","Hops","Garlic","Honeydew Melons","Dbl Crop Corn/Soybeans","Walnuts","Pecans","Dbl Crop WinWht/Cotton","Rice","Dbl Crop Soybeans/Cotton","Olives","Citrus","Oranges","Sugarcane","Radishes","Avocados","Vetch","Mint","Celery","Other Small Grains","Flaxseed","Safflower","Chick Peas","Lentils","Perennial Ice/Snow ","Camelina","Pistachios","Lettuce","Dbl Crop Lettuce/Cotton","Dbl Crop Lettuce/Cantaloupe","Dbl Crop Lettuce/Barley","Almonds","Caneberries","Apricots","Pomegranates"
1,1,1995,402,0,7,0,0,36,73,NA,9,105,2395,3,99,0,1,236,1,54,12,519565,80115,18747,5943,1928,23005,983366,1738047,1762091,381021,68910,476988,68738,0,97,NA,NA,3,0,18,NA,NA,4,"01020001",5,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,0,78,0,69,1,0,106,554,NA,4,54,2073,1,351,0,15,280,0,4,5,178098,44285,4527,467,109,8804,390611,807458,1294505,122498,18489,327104,21236,1,35,NA,NA,0,1,1,NA,NA,0,"01020002",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,2030,7,1044,19,0,1654,9629,NA,16,1050,53674,33,6667,17,193,2143,3,104,77,120780,80103,16239,3066,513,1973,518565,716445,1806088,80446,34366,866835,24245,36,2124,NA,NA,0,0,3,NA,NA,0,"01020003",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,6534,2,25,0,1,97,59,NA,1,5807,56843,0,1143,1,0,805,90,81,97,199385,90192,18798,5142,1479,3547,705568,880330,1576801,215776,15454,381891,16071,0,191,NA,NA,1,0,89,NA,NA,1,"01020004",1,6,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,44100,31103,0,258,3,0,460,542,NA,2,4410,226438,2,4877,7,31,81,10,316,30,309139,162424,104601,45604,18426,14986,912625,1333714,2495289,63048,23533,1010645,68852,3,12887,NA,NA,6,34,430,NA,NA,0,"01020005",0,3,0,1,13,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1896,425,2,4,0,0,4,14,NA,0,36,1565,0,6,0,NA,16,1,56,9,529236,85940,18474,3636,646,5089,817894,1209186,1210915,329036,44451,301958,32162,1,24,NA,0,19,NA,15,NA,0,0,"01030001",3,6,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,743,206,0,0,0,0,1,24,NA,3,36,986,0,4,0,NA,0,0,20,6,117415,45287,8339,2935,383,7667,449925,823332,679532,215169,17668,141120,12482,0,29,NA,0,2,NA,4,NA,0,0,"01030002",0,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,69693,35,16,2,23,656,491,NA,2,9306,633818,1,2829,14,NA,163,52,1222,53,451526,308934,156022,54799,17508,17049,2116694,1467092,3442277,202971,56130,800654,56814,2,1579,NA,2,67,NA,3990,NA,12,1,"01030003",0,1,6,18,9,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,23301,44,83,1,12,88,351,NA,0,672,231952,NA,3113,20,NA,14,91,246,28,206026,206126,114541,46513,16387,22437,1660588,1132758,2093124,84383,27163,306947,26983,NA,851,NA,36,441,NA,4215,NA,25,1,"01040002",8,2,3,10,7,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,777,1439,1,3,0,3,2,9,NA,32,403,8495,NA,2,1,NA,1,5,13,4,265089,81014,19012,6924,2148,3808,966517,957370,1280619,158462,8884,178152,3639,NA,39,NA,0,13,NA,22,NA,1,0,"01040001",0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1901040,100,2,148,0,NA,29,58,NA,1,248,5459,NA,82,0,82,10,1,429,31,363287,72627,9947,3436,1065,1039,311932,622572,1020305,24448,5161,365498,22901,0,3265,NA,0,0,NA,14,NA,NA,NA,"01050001",0,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3504367,62,0,28,2,NA,7,11,NA,0,129,7637,NA,73,0,0,16,0,369,22,83213,32524,9875,3052,457,1603,102337,232849,487465,7224,5580,144970,16021,1,17363,NA,0,0,NA,27,NA,NA,NA,"01050004",0,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,968014,2414,3,19,2,NA,19,40,NA,0,248,121793,NA,75,4,1,98,4,235,37,232597,133328,45844,11276,2905,11120,545375,419158,1060449,9079,31724,250293,71122,5,21821,NA,0,5,NA,72,NA,NA,NA,"01050003",8,0,NA,2,172,NA,NA,938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,5190224,1133,0,253,0,NA,171,65,NA,0,355,56640,NA,347,3,12,70,0,2397,256,496069,203585,131944,43975,10632,26336,906427,2351038,2969178,86695,39518,987557,135054,4,224645,NA,1,3,NA,122,NA,NA,NA,"01050002",3,1,NA,0,70,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1577,16218,26,17,3,116,45,41,NA,NA,386,94901,NA,5375,43,NA,5,878,1033,34,157139,180887,71185,20997,5498,26305,1064775,913920,1949089,45759,18580,295682,20735,NA,733,NA,17,210,NA,2045,NA,33,9,"01060002",16,2,7,3,1,17,268,NA,386,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1022392,6273,21,4,9,39,18,29,NA,NA,241,136161,NA,184,11,NA,13,195,353,23,257133,220357,139213,56790,26131,17113,285745,498168,1130349,14363,32801,204459,45328,NA,1405,NA,4,142,NA,1386,NA,16,1,"01060001",10,2,1,5,0,32,10,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,943661,7829,10,4,72,114,46,6,NA,NA,3454,152159,NA,76,38,NA,6,369,452,11,100273,257057,193673,85215,31612,32324,456816,523395,1532178,32140,39496,500828,76337,NA,731,NA,17,536,NA,1427,NA,50,1,"01060003",38,1,2,6,5,59,26,NA,0,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,7109,22,0,8,15,57,22,NA,NA,361,66984,NA,45,310,NA,1,10,589,43,55521,88273,95325,73408,23979,12981,361225,200172,415697,5225,12228,103686,3660,NA,247,NA,23,1192,NA,3864,NA,130,1,"01070004",13,0,28,2,2,54,4,NA,0,8,4,3,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,8980,20689,53,1,23,31,100,40,NA,NA,1080,164087,NA,108,673,NA,0,59,1214,87,153892,378982,419207,341774,92699,42552,865762,713352,1473093,48022,30011,382336,34894,NA,556,NA,83,1998,NA,3075,NA,236,5,"01070006",43,0,43,28,7,125,65,NA,1,8,5,3,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,2999,19,1,11,8,33,220,NA,NA,389,26856,NA,51,104,NA,0,43,617,35,38527,137082,143308,133569,36636,4339,227283,82808,160980,1207,4713,141296,4895,NA,56,NA,22,815,NA,1401,NA,38,3,"01070005",58,1,8,2,9,30,13,NA,0,0,6,0,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,4467,15,0,1,3,6,5,NA,NA,234,50969,NA,15,40,NA,1,15,189,33,59070,83441,36823,12456,1825,10079,462316,422940,877232,32369,10345,127315,6042,NA,115,NA,1,79,NA,345,NA,21,0,"01070003",0,0,23,5,1,6,0,NA,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,0,2237,16,2,1,4,10,0,NA,NA,339,41602,NA,8,473,NA,4,10,84,254,80622,91313,31245,10481,1543,7895,874364,622266,1083358,29471,4999,55663,2365,NA,60,NA,0,22,NA,113,NA,6,0,"01070001",0,0,13,3,0,7,0,NA,0,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,0,1044,9,1,3,1,13,1,NA,NA,54,25949,NA,14,86,NA,2,3,58,23,269760,86986,32880,14272,4506,5454,205792,132796,538423,13187,6225,55088,3363,NA,197,NA,4,50,NA,113,NA,5,0,"01070002",0,0,3,1,0,3,2,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,10320,1012,3,35,3,282,9,NA,NA,2223,35301,0,133,8,NA,0,10,2313,111,53027,138678,84181,41171,10597,3601,607038,55780,599760,540,3240,87375,1573,8,135,NA,5,1157,NA,349,NA,539,2,"01080207",0,NA,4412,2,1,516,0,NA,1,9,0,0,12,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
