"layer","zone","Background","Corn","Sorghum","Soybeans","Sunflower","Sweet Corn","Barley","Spring Wheat","Winter Wheat","Rye","Oats","Canola","Mustard","Alfalfa","Other Hay/Non Alfalfa","Buckwheat","Sugarbeets","Potatoes","Peas","Clover/Wildflowers","Sod/Grass Seed","Fallow/Idle Cropland","Christmas Trees","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Peppers","Blueberries","Cranberries","Dry Beans","Millet","Apples","Peaches","Misc Vegs & Fruits","Other Crops","HUC","Squash","Tobacco","Dbl Crop Barley/Soybeans","Pop or Orn Corn","Grapes","Pears ","Tomatoes","Strawberries","Pumpkins","Aquaculture","Herbs","Carrots","Gourds","Cucumbers","Other Tree Crops","Cabbage","Broccoli","Eggplants","Triticale","Sweet Potatoes","Onions","Dbl Crop WinWht/Soybeans","Watermelons","Cherries","Greens","Plums","Dbl Crop WinWht/Corn","Dbl Crop Triticale/Corn","Dbl Crop Barley/Corn","Turnips","Walnuts","Hops","Cantaloupes","Nectarines","Dbl Crop WinWht/Sorghum","Switchgrass","Asparagus","Dbl Crop Oats/Corn","Dbl Crop Soybeans/Oats","Cotton","Peanuts","Dbl Crop Corn/Soybeans","Safflower","Lettuce","Radishes","Speltz","Cauliflower","Lentils","Rape Seed","Pecans","Dbl Crop WinWht/Cotton","Rice","Honeydew Melons","Olives","Citrus","Oranges","Sugarcane","Vetch","Avocados","Mint","Celery","Garlic","Camelina","Other Small Grains","Flaxseed","Durum Wheat","Chick Peas","Perennial Ice/Snow","Pistachios","Dbl Crop Lettuce/Cotton","Dbl Crop Lettuce/Durum Wht","Dbl Crop Lettuce/Cantaloupe","Dbl Crop Lettuce/Barley","Almonds","Pomegranates","Caneberries","Apricots","Prunes"
1,1,1995,365,46,8,3,11,17,6,3,58,295,1,1,89,2995,8,0,427,3,76,16,38,61,519532,67059,24827,13265,2950,13859,1010806,1809650,1952025,155061,17218,483156,57822,NA,240,11,0,2,9,NA,2,5,"01020001",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,0,133,8,7,2,0,19,4,0,35,297,0,0,199,3042,3,2,450,0,110,0,3,16,176293,39487,7483,2355,441,4303,415965,826848,1350732,33551,10254,329657,20055,NA,70,0,0,0,0,NA,0,0,"01020002",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,2398,95,170,33,3,398,18,56,248,5597,60,5,1721,55197,0,4,7255,2,1006,4,217,108,118828,75219,21934,7132,1383,866,530962,733759,1824969,19848,37310,879867,21592,NA,1901,0,1,18,1,NA,0,0,"01020003",2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,7079,800,34,0,13,145,49,0,221,564,8,0,2843,47114,0,1,1806,18,288,6,134,1558,196782,83577,26214,10914,2479,1563,745741,900155,1692825,40728,24191,377820,16350,NA,264,8,0,3,16,NA,0,1,"01020004",2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,44100,28916,49,8,25,12,116,114,6,347,447,0,0,5612,187879,0,2,6563,0,162,12,323,260,301759,157143,120921,67869,23144,12391,889499,1368838,2488413,28766,71377,1005450,64720,NA,13230,1,0,164,133,NA,27,0,"01020005",177,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1896,169,23,0,0,4,1,2,2,19,18,NA,NA,16,1945,0,NA,64,0,7,10,38,68,528360,72841,26545,11000,1650,2567,822860,1261430,1398093,92839,27718,321011,21376,NA,120,6,NA,1,17,0,7,3,"01030001",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,743,105,19,4,0,2,0,0,0,9,21,NA,NA,13,1302,0,NA,5,0,3,28,8,34,122205,37249,13395,6771,828,1514,452669,910935,760521,52949,5709,146824,9421,NA,33,1,NA,0,1,0,2,0,"01030002",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,71665,69,139,2,96,34,35,35,1541,593,NA,NA,5688,517266,1,NA,4613,3,94,42,641,964,439950,293914,194705,94279,25773,14867,2097380,1457648,3496616,86222,184155,821442,57659,NA,1777,3,NA,91,2327,9,153,0,"01030003",27,4,1,20,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,19428,8,50,9,1119,10,3,166,370,73,NA,NA,674,188339,NA,NA,4044,NA,10,265,237,91,203381,190166,134489,76278,22594,16632,1648524,1114912,2104019,50826,92851,307340,27710,NA,1153,2,3,31,3703,1,50,7,"01040002",9,4,7,NA,10,1,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,777,1422,9,11,0,18,1,0,3,11,3,NA,NA,446,7199,NA,NA,9,NA,0,19,61,10,264183,67744,29548,13157,3287,2587,1011936,961018,1340169,48537,5991,180929,3721,NA,54,0,0,0,28,0,6,0,"01040001",3,5,3,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1901040,138,16,1,6,0,173,14,0,28,90,0,0,60,5205,0,NA,75,0,36,0,361,7,361049,63565,17000,7654,1646,669,304469,612696,1056110,8783,5375,361837,23207,NA,3897,0,0,6,4,0,0,0,"01050001",0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3504367,277,4,0,1,0,2,0,0,4,9,1,0,49,9121,0,NA,21,0,5,1,731,5,79925,26378,15457,6721,857,829,97508,231555,498569,2548,5401,139969,19077,NA,17892,0,0,0,0,0,0,0,"01050004",0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,968014,2418,6,1,2,7,22,0,0,80,22,0,0,189,81175,0,NA,369,11,19,9,213,89,227619,133841,67400,23926,5019,9850,530380,423507,1021795,12057,91969,249246,69289,NA,20640,1,0,75,55,0,28,7,"01050003",23,NA,NA,NA,5,NA,NA,NA,NA,921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,5190224,1880,47,2,28,15,54,60,1,63,109,0,1,303,43271,1,NA,195,0,86,1,4858,117,486451,178068,163383,77594,15781,20820,863623,2370114,2986472,49799,72641,985290,131323,NA,221995,0,2,28,39,1,19,1,"01050002",25,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1577,14758,6,386,1,79,30,NA,12,215,150,NA,NA,202,72606,NA,NA,6671,NA,22,1365,402,114,153996,170785,95771,42529,9135,21158,1023759,901296,1938497,33927,61052,324599,17898,4,415,0,0,0,1384,11,74,5,"01060002",18,4,38,0,4,NA,1,3,31,0,3,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1022392,5448,5,16,3,50,7,NA,3,182,56,NA,NA,203,114683,NA,NA,273,NA,7,446,305,113,255456,206754,159408,94360,36165,15864,258999,472991,1089265,13694,81361,220229,45819,0,1275,8,2,3,993,9,32,10,"01060001",11,0,0,2,3,NA,0,0,3,20,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,943661,7330,0,20,8,504,0,NA,7,93,56,NA,NA,2998,108221,NA,NA,39,NA,21,987,343,100,96870,244056,217164,136564,46375,26075,414526,513067,1479378,23958,110089,525958,72539,0,574,0,0,0,799,5,68,38,"01060003",2,3,9,0,5,NA,0,0,43,0,7,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,6668,4,133,0,838,2,NA,0,138,3,NA,NA,304,47242,NA,NA,51,NA,4,68,607,55,52632,78994,105301,92777,32983,9184,327615,187539,420294,7599,46500,106641,5702,41,108,NA,0,NA,1360,42,356,2,"01070004",99,46,30,NA,10,2,79,4,458,NA,17,2,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,8980,18770,12,158,1,1782,11,NA,4,342,7,NA,NA,986,116078,NA,NA,116,NA,11,386,1004,143,147026,347238,439103,403520,130150,34708,796263,670365,1466774,48433,108356,401509,34869,7,265,NA,0,NA,1261,57,539,19,"01070006",114,76,31,NA,21,1,59,6,505,NA,2,1,15,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,2960,1,18,10,605,0,NA,0,129,1,NA,NA,377,18557,NA,NA,33,NA,1,158,323,44,36546,112333,152278,158652,54030,3022,217176,79839,141844,1646,19929,143913,5144,3,27,NA,1,NA,463,16,177,9,"01070005",21,10,14,NA,18,1,7,1,154,NA,1,2,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,4222,7,69,0,69,0,NA,3,19,3,NA,NA,187,34943,NA,NA,29,NA,0,45,167,28,56307,84313,47188,23005,3623,8259,431236,401033,898793,28543,35841,132681,7948,0,60,NA,0,NA,137,8,23,0,"01070003",13,24,5,NA,1,2,0,2,4,NA,0,1,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,0,1508,21,99,0,70,7,NA,2,21,60,NA,NA,183,30214,NA,NA,8,NA,0,33,95,166,80069,82555,46043,21740,3022,6502,874644,630018,1055708,24641,23750,57068,2301,0,24,NA,0,NA,49,1,69,0,"01070001",26,65,5,NA,53,0,0,1,13,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,0,803,2,36,0,24,0,NA,0,5,44,NA,NA,69,17179,NA,NA,15,NA,16,18,52,20,268990,81033,49993,25456,6750,4470,194622,126649,527735,13763,19594,55855,2930,0,116,NA,0,NA,34,3,53,0,"01070002",4,3,8,NA,4,0,2,0,22,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,11218,3,169,1,1997,246,NA,9,57,2,NA,NA,621,23270,0,NA,160,NA,0,61,1722,114,50898,144326,93641,54645,15443,2383,591599,54122,579653,1223,23989,85216,3833,2,215,NA,0,NA,264,46,8,0,"01080207",85,3821,153,0,4,2,NA,6,218,NA,0,0,15,0,0,2,11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
