"layer","zone","Background","Corn","Sorghum","Soybeans","Sunflower","Sweet Corn","Barley","Spring Wheat","Rye","Oats","Rape Seed","Mustard","Alfalfa","Other Hay/Non Alfalfa","Buckwheat","Sugarbeets","Potatoes","Misc Vegs & Fruits","Peas","Clover/Wildflowers","Sod/Grass Seed","Fallow/Idle Cropland","Christmas Trees","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Broccoli","Blueberries","Canola","Other Crops","Apples","Pumpkins","HUC","Peppers","Cranberries","Squash","Winter Wheat","Grapes","Tobacco","Tomatoes","Herbs","Peaches","Cabbage","Strawberries","Durum Wheat","Other Tree Crops","Greens","Gourds","Triticale","Switchgrass","Aquaculture","Millet","Speltz","Onions","Hops","Cherries","Pears","Dbl Crop WinWht/Corn","Dry Beans","Pop or Orn Corn","Dbl Crop WinWht/Soybeans","Sweet Potatoes","Watermelons","Plums","Dbl Crop Triticale/Corn","Dbl Crop Barley/Soybeans","Cucumbers","Nectarines","Dbl Crop WinWht/Sorghum","Dbl Crop Barley/Corn","Cotton","Peanuts","Cantaloupes","Dbl Crop Soybeans/Oats","Eggplants","Turnips","Dbl Crop Oats/Corn","Other Small Grains","Carrots","Walnuts","Radishes","Pecans","Dbl Crop WinWht/Cotton","Rice","Honeydew Melons","Dbl Crop Corn/Soybeans","Asparagus","Caneberries","Olives","Sugarcane","Oranges","Citrus","Avocados","Pomegranates","Cauliflower","Mint","Safflower","Vetch","Flaxseed","Chick Peas","Lentils","Perennial Ice/Snow ","Camelina","Dbl Crop Soybeans/Cotton","Pistachios","Lettuce","Apricots","Garlic","Dbl Crop Lettuce/Cantaloupe","Dbl Crop Lettuce/Cotton","Dbl Crop Lettuce/Barley","Celery","Almonds"
1,2,0,89,NA,23,3,1,15,4,192,128,48,1,97,1400,5,NA,434,4,1,46,0,20,6,176700,44301,4537,467,109,8373,388514,802577,1291207,131758,18151,330668,21941,1,2,0,0,0,0,"01020002",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,3036,NA,632,12,23,200,92,4326,6041,844,6,1982,37935,7,NA,6406,48,14,670,1,438,93,120651,80338,16426,3066,513,1979,519610,720417,1823101,86932,42604,847064,23940,66,642,8,0,3,19,"01020003",1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,4414,NA,1,2,6,4,0,21,626,0,0,6142,54683,0,NA,1137,17,4,865,33,290,149,199692,89996,18751,5141,1334,3512,688210,864714,1590363,242408,16855,376587,15821,1,234,0,75,154,0,"01020004",0,17,3,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,44100,30478,NA,7,17,5,2,0,174,424,0,0,4336,218443,0,NA,5584,9,2,19,38,1213,23,308213,161659,104610,45604,18426,16366,924052,1330020,2486339,78252,26802,1005614,65496,51,12172,0,11,380,2,"01020005",5,16,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1896,176,0,1,0,2,0,0,4,11,NA,NA,25,2540,NA,NA,16,0,0,1,10,48,2,529679,85927,18494,3636,379,5396,798588,1188987,1256264,324334,43348,303204,29604,0,24,NA,20,28,1,"01030001",NA,10,0,71,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,743,118,0,0,0,0,7,0,0,2,NA,NA,30,1256,NA,NA,4,0,0,0,5,10,0,117887,45293,8384,2935,383,7593,432258,832554,698612,208731,13876,140796,11809,0,17,NA,2,4,5,"01030002",NA,7,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,62651,3,257,7,86,9,1,742,112,NA,NA,9266,624842,NA,NA,2377,39,8,11,89,829,36,449359,308458,155765,54805,16830,17984,2131149,1463300,3408786,223311,64938,804733,60221,4,1788,NA,5142,4458,32,"01030003",NA,19,22,82,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,18298,35,19,3,863,98,NA,183,56,NA,NA,906,230725,NA,NA,2122,14,NA,2,375,227,6,207102,206366,114487,46509,16387,22706,1653141,1131867,2091174,98846,32840,297963,30103,NA,877,NA,1039,4045,62,"01040002",NA,18,13,124,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,777,997,0,0,1,0,5,NA,3,0,NA,NA,386,8837,NA,NA,9,0,NA,0,1,117,1,264605,81047,18993,6924,2148,3780,957233,947176,1281551,179611,6606,178514,3515,NA,13,NA,5,14,22,"01040001",NA,0,1,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1901040,300,0,3,0,0,0,4,3,86,NA,0,303,4279,NA,NA,31,0,0,2,0,278,38,363030,72628,10065,3436,1065,1654,312588,609365,1045399,26664,5629,350260,25960,5,1096,NA,0,2,0,"01050001",NA,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3504367,546,0,1,0,0,0,2,2,33,NA,1,208,9638,NA,NA,20,0,1,15,1,504,29,81559,32532,9921,3052,457,1270,97150,225729,502349,7738,4396,143802,19074,8,12877,NA,0,0,2,"01050004",NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,968014,1907,1,2,3,4,1,0,260,42,NA,0,485,122845,NA,NA,165,15,0,5,12,262,0,231712,133084,45714,11276,2905,11720,579223,422695,1030821,14664,31753,236881,72675,5,20883,NA,13,186,7,"01050003",NA,11,4,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,5190224,1702,0,0,0,4,1,3,34,206,NA,1,766,60946,NA,NA,294,3,0,7,27,2170,23,495154,205610,134209,43975,10632,25452,925166,2325194,2963769,109761,46811,982904,141506,31,198067,NA,5,39,15,"01050002",NA,3,2,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1577,12607,18,7,0,39,35,4,33,25,NA,NA,369,88126,NA,NA,5056,31,NA,0,2246,1002,22,157846,180895,71233,20997,5498,26713,1043180,909188,1968289,52301,23829,299925,20263,NA,910,NA,7,2666,44,"01060002",NA,3,12,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1022392,3996,3,6,7,99,2,4,30,7,NA,NA,451,128752,NA,NA,270,3,NA,2,541,293,13,257891,220374,139186,56791,26131,17150,267035,499224,1152154,14641,40535,199413,46337,NA,1522,NA,67,1482,63,"01060001",NA,25,8,30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,943661,6143,19,12,1,348,32,0,19,2,NA,NA,4978,135766,NA,NA,96,33,NA,0,720,453,10,100376,256904,193653,85212,31612,34100,441768,534359,1531203,35635,45714,508121,78504,NA,752,NA,10,2053,251,"01060003",NA,9,31,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,6063,89,25,0,942,3,1,51,14,NA,NA,316,65454,NA,NA,179,435,NA,0,69,1274,32,55719,88293,95385,73408,23979,14459,354969,199613,413371,5723,10396,112433,4619,NA,263,NA,3,4740,45,"01070004",21,0,113,0,3,21,9,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,8980,18762,107,33,9,1511,64,1,65,21,NA,NA,1658,150819,NA,NA,140,900,NA,0,135,1496,80,156581,379014,419356,341779,92699,43557,814306,719845,1504006,52121,33106,399775,34147,NA,540,NA,12,4082,144,"01070006",11,2,196,0,6,21,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,2759,39,27,0,816,2,0,12,108,NA,NA,497,25083,NA,NA,72,182,NA,1,56,1018,31,39120,137132,143408,133570,36634,4950,227351,81220,152457,1245,4225,152063,4767,NA,57,NA,0,1534,17,"01070005",0,1,8,0,9,7,15,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,4142,37,2,0,84,4,1,7,1,NA,NA,360,48957,NA,NA,34,53,NA,0,32,181,31,58919,83430,36825,12456,1825,10071,444835,430840,883246,34961,11965,126627,8212,NA,291,NA,5,359,17,"01070003",0,0,17,1,1,10,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,0,1577,4,0,1,7,0,5,17,1,NA,NA,427,41274,NA,NA,22,741,NA,0,4,93,250,80664,91307,31243,10480,1543,7493,877065,623973,1076642,32772,6518,53517,2992,NA,104,NA,11,98,6,"01070001",0,0,1,1,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,0,699,7,1,0,1,12,0,8,0,NA,NA,74,23511,NA,NA,28,136,NA,0,3,70,22,269970,86977,32889,14273,4506,5306,196248,138530,543222,14383,7447,53762,3983,NA,166,NA,13,98,24,"01070002",0,0,1,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,8414,42,314,0,2439,0,1,130,4,NA,NA,2178,35390,NA,NA,197,8,0,0,23,3643,109,52044,138574,84183,41171,10597,3575,640674,53086,570526,1081,4058,84595,1863,NA,216,NA,2,325,132,"01080207",NA,NA,107,1,1,5767,0,0,1,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
