"layer","zone","Background","Corn","Soybeans","Barley","Spring Wheat","Rye","Oats","Speltz","Canola","Alfalfa","Other Hay/Non Alfalfa","Buckwheat","Potatoes","Peas","Herbs","Clover/Wildflowers","Fallow/Idle Cropland","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Triticale","Broccoli","Cauliflower","Blueberries","Other Crops","Radishes","Apples","Christmas Trees","Mustard","HUC","Misc Vegs & Fruits","Carrots","Pumpkins","Sorghum","Sweet Corn","Hops","Sod/Grass Seed","Aquaculture","Tomatoes","Grapes","Peppers","Cabbage","Other Small Grains","Dry Beans","Squash","Dbl Crop WinWht/Corn","Tobacco","Winter Wheat","Durum Wheat","Peaches","Eggplants","Sunflower","Other Tree Crops","Millet","Cranberries","Pears","Dbl Crop Oats/Corn","Onions","Dbl Crop WinWht/Soybeans","Greens","Dbl Crop Barley/Soybeans","Plums","Cherries","Strawberries","Sweet Potatoes","Dbl Crop Barley/Corn","Watermelons","Cotton","Dbl Crop WinWht/Sorghum","Sugarbeets","Cucumbers","Asparagus","Cantaloupes","Nectarines","Switchgrass","Dbl Crop Soybeans/Oats","Pop or Orn Corn","Garlic","Flaxseed","Dbl Crop Corn/Soybeans","Walnuts","Caneberries","Peanuts","Rape Seed","Pecans","Dbl Crop WinWht/Cotton","Rice","Olives","Sugarcane","Oranges","Citrus","Turnips","Camelina","Vetch","Mint","Celery","Gourds","Lentils","Safflower","Perennial Ice/Snow ","Lettuce","Pistachios","Honeydew Melons","Almonds","Dbl Crop Lettuce/Cotton","Chick Peas","Apricots","Pomegranates"
1,1,1995,37,0,3,0,4,30,NA,NA,9,1531,0,15,NA,NA,44,3,486804,21366,8291,5392,1444,47340,1152047,1694019,1640889,557097,1614,482879,31066,4,1,0,75,0,NA,0,22,NA,"01020001",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,0,37,4,11,0,90,327,NA,NA,11,2132,0,10,NA,NA,181,0,177510,10741,1414,339,43,7113,449266,860684,1256479,162652,1178,284731,6840,0,18,1,10,0,NA,0,2,NA,"01020002",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,3097,149,1204,127,5659,5006,NA,NA,360,41632,0,5335,NA,NA,2779,2,121344,60573,15590,2927,530,789,603168,839132,1727922,122265,22545,749035,18034,7,532,386,57,1,NA,0,0,NA,"01020003",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,4356,0,2,0,1,444,NA,NA,2507,56472,238,1487,NA,NA,784,47,197916,51084,13752,4843,1118,3808,847300,917133,1549828,181631,982,331100,14536,0,2,0,831,0,NA,63,0,NA,"01020004",46,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,44100,29961,17,89,0,440,255,NA,NA,4575,219528,24,4207,NA,NA,313,104,309219,175659,102695,45767,15266,8985,998019,1401295,2342068,159845,5168,920885,90674,6,23,3,9491,0,NA,268,19,NA,"01020005",2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1896,57,0,0,NA,0,19,NA,NA,7,945,0,0,NA,NA,20,3,524658,22899,8055,2499,565,11327,956524,1202108,1030588,518444,1977,299334,10798,NA,1,NA,2,NA,NA,0,0,NA,"01030001",0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,743,14,0,0,NA,0,2,NA,NA,5,578,0,0,NA,NA,0,0,106859,16045,4324,2207,352,17860,548754,780180,549446,353930,2575,136183,3258,NA,0,NA,7,NA,NA,1,0,NA,"01030002",0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,65215,169,44,NA,15,334,NA,NA,6852,599516,66,2211,NA,NA,19,688,446782,301569,152899,54620,15429,11735,2406686,1515174,3244632,211742,20457,753694,55663,NA,1,NA,2147,NA,NA,3589,1,NA,"01030003",364,134,NA,14,89,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,17969,22,454,NA,54,37,18,NA,492,227876,NA,731,NA,NA,2,57,207853,195282,109252,46348,15098,16806,1813475,1140939,2002689,90057,15228,284605,20408,NA,NA,NA,493,NA,NA,2318,NA,211,"01040002",5,42,25,34,713,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,777,801,30,0,NA,0,0,0,NA,255,6593,NA,0,NA,NA,0,0,259214,30878,14577,5883,2054,8869,1100620,993673,1168399,196767,8562,143569,1309,NA,NA,NA,67,NA,NA,7,NA,0,"01040001",0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1901040,668,0,8,1,230,181,0,NA,40,4599,1,18,NA,NA,65,0,365825,27850,8967,3616,1061,519,360020,626907,1010597,52067,1466,340596,27412,0,2,0,1460,NA,NA,0,1,NA,"01050001",0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3504367,1140,1,1,0,253,867,0,NA,491,8093,0,13,NA,NA,4,0,80048,22037,9789,4165,497,2359,119009,246719,423626,39389,6427,149346,26115,0,5,0,12523,NA,NA,0,0,NA,"01050004",0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,968014,1989,6,11,0,5,96,1,NA,123,128369,0,28,NA,NA,14,309,226279,129677,46058,11627,2805,14051,598486,459799,939086,31336,9665,280334,70909,0,1,0,19657,NA,NA,215,46,NA,"01050003",189,83,NA,NA,34,NA,NA,997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,5190224,6645,0,210,1,2561,513,0,NA,586,84037,113,210,NA,NA,947,2317,480483,173756,130300,45758,11812,27103,1018826,2326415,2598914,398712,17090,1009774,166746,11,102,6,170356,NA,NA,2,253,NA,"01050002",2,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1577,13004,5,13,NA,1,1,0,NA,288,89093,NA,4723,NA,NA,11,85,160260,174436,67820,21199,5093,23084,1136428,971470,1829816,85162,12481,276871,19052,NA,NA,NA,236,2,NA,2082,1,3,"01060002",8,0,25,0,61,0,604,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1022392,2429,6,165,NA,10,12,1,NA,423,143035,NA,301,NA,NA,28,157,260517,221901,131802,56710,24091,14740,309390,507850,1084494,33397,23928,215767,41624,NA,NA,NA,803,6,NA,809,0,10,"01060001",2,2,1,0,116,3,7,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,943661,4332,0,0,NA,45,15,0,NA,6278,126606,NA,11,NA,NA,3,920,101751,285511,184949,83229,29073,29975,719196,601957,1174483,76849,45335,470189,85428,NA,NA,NA,291,6,NA,1925,0,0,"01060003",36,0,10,1,412,0,76,0,1,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,5865,42,0,NA,39,202,NA,NA,297,59347,NA,24,NA,NA,0,1080,55540,92140,95473,71186,21639,13991,692068,262416,32324,10307,13762,88126,8915,59,NA,NA,258,NA,NA,5472,12,NA,"01070004",28,NA,274,1,1527,NA,18,NA,38,18,22,12,1,2,10,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,8980,16627,33,1,NA,89,134,NA,NA,1848,142461,NA,31,NA,NA,40,1473,158303,393623,417213,328623,82778,45560,1497637,888401,690241,69097,29679,345825,55023,46,NA,NA,281,NA,NA,3893,2,NA,"01070006",91,NA,74,0,1792,NA,78,NA,13,37,25,9,0,0,12,1,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,2108,105,0,NA,37,38,NA,NA,870,21818,NA,7,NA,NA,0,1315,40356,141751,145906,131794,32107,4829,374064,100868,3954,3904,5524,124162,12438,47,NA,NA,33,NA,NA,1803,5,NA,"01070005",12,NA,82,0,463,NA,28,NA,4,13,8,14,5,0,24,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,3544,5,9,NA,6,70,NA,NA,300,44695,NA,4,NA,NA,2,332,60638,85627,34689,10697,1437,9837,712351,519559,560996,28892,10338,103768,10062,1,NA,NA,390,NA,NA,383,26,NA,"01070003",10,NA,2,27,109,NA,6,NA,16,2,0,2,0,0,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,0,2098,23,5,NA,0,1,NA,NA,125,38818,NA,1,NA,NA,3,25,79950,63227,27774,9243,1466,7825,942808,649579,1030819,30863,3212,50248,2542,0,NA,NA,51,NA,NA,93,0,NA,"01070001",2,NA,17,0,20,NA,4,NA,0,0,0,0,0,0,13,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,0,530,3,2,NA,0,0,NA,NA,25,22927,NA,4,NA,NA,15,11,269662,71566,27873,12811,4241,5670,224735,151778,524836,20359,4262,52116,2772,0,NA,NA,48,NA,NA,45,1,NA,"01070002",0,NA,40,0,40,NA,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,7515,125,0,NA,500,8,NA,NA,12463,19618,NA,290,NA,0,0,11053,59020,150293,82421,39037,8819,3613,1041479,91537,134113,2225,3926,70546,2071,1,NA,NA,80,3,NA,338,45,NA,"01080207",0,0,23,1,1859,NA,138,NA,0,0,3,0,0,0,1374,0,788,1,6,9,132,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,8011,45157,499,22,NA,4515,139,NA,NA,70441,24479,NA,557,NA,27,0,28242,103410,372088,330150,216837,48733,9310,1564899,42028,22614,10489,13615,158440,21967,92,NA,NA,101,2,NA,2032,152,NA,"01080205",5,0,1368,5,12320,NA,1237,NA,0,35,17,0,1,0,1614,72,4918,193,37,16,111,3,144,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,33096,561,0,NA,1834,238,NA,NA,5533,93684,NA,20025,NA,979,0,27534,73366,156235,106066,65482,18226,4726,1195401,609651,351483,8621,11956,123727,5946,82,NA,NA,10,16,NA,361,23,NA,"01080201",13,14,622,9,8719,NA,1110,NA,2,4,0,3,2,89,2608,1180,210,206,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
