"layer","zone","Background","Corn","Barley","Spring Wheat","Rye","Oats","Rape Seed","Mustard","Alfalfa","Other Hay/Non Alfalfa","Buckwheat","Potatoes","Misc Vegs & Fruits","Peas","Clover/Wildflowers","Sod/Grass Seed","Fallow/Idle Cropland","Christmas Trees","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Broccoli","Pumpkins","Blueberries","Radishes","Sunflower","Sorghum","Soybeans","Canola","HUC","Apples","Other Crops","Millet","Cranberries","Squash","Tobacco","Cucumbers","Herbs","Grapes","Winter Wheat","Dry Beans","Tomatoes","Peaches","Pears","Strawberries","Other Tree Crops","Cauliflower","Cabbage","Aquaculture","Other Small Grains","Hops","Triticale","Onions","Greens","Dbl Crop WinWht/Corn","Speltz","Dbl Crop WinWht/Soybeans","Sweet Potatoes","Cherries","Plums","Dbl Crop WinWht/Sorghum","Dbl Crop Barley/Soybeans","Watermelons","Asparagus","Peppers","Nectarines","Cotton","Peanuts","Sugarbeets","Lettuce","Dbl Crop Barley/Corn","Dbl Crop Corn/Soybeans","Turnips","Eggplants","Pop or Orn Corn","Switchgrass","Cantaloupes","Dbl Crop Soybeans/Oats","Dbl Crop Oats/Corn","Carrots","Walnuts","Dbl Crop WinWht/Cotton","Pecans","Caneberries","Rice","Oranges","Olives","Citrus","Sugarcane","Avocados","Vetch","Flaxseed","Camelina","Celery","Gourds","Mint","Durum Wheat","Safflower","Lentils","Perennial Ice/Snow ","Honeydew Melons","Pistachios","Garlic","Dbl Crop Lettuce/Cotton","Almonds","Dbl Crop Lettuce/Cantaloupe","Dbl Crop Lettuce/Barley","Sweet Corn","Chick Peas","Apricots","Pomegranates"
1,1,1995,51,14,0,29,28,0,0,36,1277,NA,58,0,0,58,9,28,5,472399,21538,8128,4877,1853,61860,1101661,1698548,1636231,615946,2016,468587,36762,1,0,25,NA,1,0,0,NA,"01020001",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,0,12,31,0,38,302,1,0,41,2127,NA,29,0,0,84,0,3,2,174060,10907,1247,266,83,6222,432151,851793,1247725,185911,1577,294197,12998,5,0,9,NA,2,1,0,NA,"01020002",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,2465,3427,69,1654,4633,11,10,1992,47605,NA,5519,0,0,2947,0,96,6,116645,61301,14938,2438,512,1146,582938,805793,1719015,182486,18137,749832,24198,235,0,81,NA,49,2,6,NA,"01020003",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,4118,15,0,106,335,0,0,2291,60681,NA,1119,4,1,1050,5,92,99,195607,50803,13586,4251,1374,2742,806271,919371,1522166,239017,790,334625,21086,0,0,188,NA,1,14,0,NA,"01020004",500,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,44100,31371,175,1,154,265,1,1,3641,226501,NA,3909,30,0,436,2,195,24,304235,177487,101307,41215,17349,10304,1025732,1396779,2279590,204047,3886,902309,101042,56,2,12370,NA,17,92,1,NA,"01020005",342,0,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1896,36,6,NA,5,5,NA,NA,7,1073,NA,14,0,0,5,11,46,0,519859,22759,7983,2648,548,13149,912936,1139679,1040082,616466,2980,298494,11962,NA,0,56,NA,NA,0,0,NA,"01030001",21,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,743,27,0,NA,2,0,NA,NA,5,791,NA,2,0,0,0,1,38,0,103775,15904,4251,2408,348,19784,494030,765544,519021,450346,2304,138101,5866,NA,0,31,NA,NA,0,0,NA,"01030002",1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,65593,30,NA,319,353,NA,NA,8372,647330,NA,2243,10,5,45,45,427,55,442911,301346,151601,50114,15724,12506,2318620,1542176,3195484,281642,9345,741748,76382,NA,18,1729,NA,NA,209,9,NA,"01030003",6150,NA,7,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,17037,9,NA,1197,87,NA,NA,1142,244837,NA,4307,5,NA,27,156,141,21,204636,195739,109215,42120,15935,21205,1763526,1172405,1944739,133991,6744,294044,31976,1,4,970,NA,NA,3,6,NA,"01040002",3361,4,17,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,777,677,0,NA,8,0,NA,NA,239,7975,NA,23,0,NA,0,24,53,3,253167,30780,14257,6136,2004,10320,1077382,967080,1209121,183410,10214,164878,4236,0,0,132,NA,NA,0,2,NA,"01040001",4,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1901040,250,67,0,41,10,NA,1,195,5718,NA,45,1,0,330,0,82,1,360737,28643,8534,3543,933,535,343077,625650,1010399,61808,1296,344954,35980,1,0,1343,2,0,0,0,NA,"01050001",1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3504367,1037,1,9,25,27,NA,0,179,10003,NA,45,1,1,44,0,889,0,78793,22866,9259,3766,437,845,116345,229859,420119,57565,3376,151111,31454,4,0,14856,0,1,0,0,NA,"01050004",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,968014,2146,7,0,41,64,NA,0,97,143181,NA,102,3,0,10,5,154,55,226836,131463,44832,10619,2642,13715,638971,442862,923738,49879,3966,239821,76137,0,0,20832,0,0,29,0,NA,"01050003",69,1,7,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,5190224,1912,70,0,128,49,NA,1,373,65534,NA,131,26,0,323,0,2107,303,473664,178980,127806,42933,11456,26558,1039808,2294345,2541007,461252,15062,1000934,182993,4,2,206777,9,0,9,2,NA,"01050002",3,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1577,12566,0,NA,206,243,NA,NA,286,100749,NA,6223,45,NA,0,2269,99,13,156452,175526,68005,18430,5347,24259,1094944,948718,1846855,110102,5131,282921,30886,0,3,587,NA,NA,NA,19,NA,"01060002",2526,6,0,0,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1022392,4017,0,NA,176,42,NA,NA,430,162557,NA,441,7,NA,14,359,213,4,258814,223276,134027,51076,25017,16812,306230,520224,1055842,61270,8842,194825,47427,40,1,1400,NA,NA,NA,6,NA,"01060001",1140,2,3,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,943661,5929,1,NA,131,35,NA,NA,5384,174112,NA,51,19,NA,0,1119,468,1,99383,287933,188014,76818,28953,32356,598196,583587,1201464,139463,15094,486056,101785,0,43,604,NA,NA,NA,4,NA,"01060003",1879,6,0,0,11,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,8562,0,0,12,55,NA,NA,200,70973,NA,25,254,NA,0,65,613,52,55441,93966,95073,69927,20988,12665,671811,259267,32958,15677,6255,100665,11049,NA,54,329,NA,0,NA,4,NA,"01070004",5526,1,NA,NA,24,31,11,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,8980,21316,4,9,178,129,NA,NA,1339,174303,NA,133,553,NA,0,401,1300,72,156024,397377,420347,321669,81599,42985,1465910,881642,666338,104432,13135,335854,79026,NA,112,517,NA,11,NA,19,NA,"01070006",4164,8,NA,NA,134,51,15,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,3764,3,0,19,34,NA,NA,599,26402,NA,53,92,NA,1,118,1011,14,39634,143553,147893,127957,31721,5013,357889,98170,3355,7240,3228,132521,18106,NA,21,61,NA,0,NA,13,NA,"01070005",1966,0,NA,NA,33,8,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,3802,1,0,40,2,NA,NA,149,57919,NA,15,36,NA,0,80,140,18,59511,86702,34043,9880,1468,8746,663734,524898,566370,50485,2942,109363,17715,NA,8,316,NA,0,NA,3,NA,"01070003",436,1,NA,NA,17,3,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,0,1751,0,0,35,0,NA,NA,119,43937,NA,15,578,NA,0,35,70,239,79129,62974,27085,9461,1430,7394,911088,657778,1041963,37856,1165,51954,4544,NA,11,104,NA,1,NA,7,NA,"01070001",130,0,NA,NA,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,0,566,0,0,34,2,NA,NA,29,28337,NA,23,42,NA,0,37,22,0,268544,72092,27952,11806,4264,4967,216935,156313,518007,28793,1290,49901,6219,NA,3,147,NA,0,NA,0,NA,"01070002",46,0,NA,NA,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,12630,7,3,166,6,NA,NA,7700,29506,NA,321,4,NA,0,48,4269,18,58975,150272,83595,37596,8713,3339,1023010,92030,138905,6816,3048,75062,4073,0,241,221,NA,0,1,43,NA,"01080207",350,0,NA,NA,1260,2326,28,98,0,93,24,10,3,1,662,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
