"layer","zone","Background","Corn","Soybeans","Barley","Spring Wheat","Winter Wheat","Rye","Oats","Canola","Mustard","Alfalfa","Other Hay/Non Alfalfa","Buckwheat","Sugarbeets","Potatoes","Clover/Wildflowers","Fallow/Idle Cropland","Christmas Trees","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Broccoli","Peas","Blueberries","Radishes","HUC","Apples","Sorghum","Millet","Misc Vegs & Fruits","Hops","Sod/Grass Seed","Aquaculture","Tomatoes","Pumpkins","Tobacco","Dry Beans","Other Crops","Triticale","Peppers","Squash","Sunflower","Grapes","Sweet Potatoes","Cucumbers","Herbs","Strawberries","Peaches","Other Tree Crops","Cranberries","Dbl Crop WinWht/Soybeans","Onions","Dbl Crop WinWht/Corn","Pears","Speltz","Dbl Crop Oats/Corn","Plums","Nectarines","Greens","Asparagus","Cantaloupes","Dbl Crop Barley/Soybeans","Cotton","Vetch","Dbl Crop WinWht/Sorghum","Dbl Crop Barley/Corn","Rape Seed","Watermelons","Carrots","Lettuce","Dbl Crop Corn/Soybeans","Cabbage","Turnips","Eggplants","Dbl Crop Soybeans/Oats","Pop or Orn Corn","Switchgrass","Cherries","Peanuts","Pecans","Dbl Crop WinWht/Cotton","Rice","Celery","Olives","Sugarcane","Citrus","Oranges","Honeydew Melons","Cauliflower","Camelina","Walnuts","Mint","Gourds","Flaxseed","Durum Wheat","Dbl Crop Soybeans/Cotton","Other Small Grains","Safflower","Lentils","Perennial Ice/Snow ","Pistachios","Caneberries","Apricots","Almonds","Dbl Crop Lettuce/Cantaloupe","Garlic","Dbl Crop Lettuce/Cotton","Dbl Crop Lettuce/Barley","Sweet Corn","Chick Peas","Pomegranates"
1,1,1995,23,0,7,3,0,15,113,0,0,48,1842,1,0,54,59,10,5,500719,20753,8865,5038,1640,37784,1151910,1703617,1668020,526952,1796,474411,28309,29,0,3,0,"01020001",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,0,15,0,6,0,0,30,47,0,0,9,2580,2,0,334,81,4,4,176310,10634,1391,302,81,5251,464416,828757,1292659,138296,1217,292454,6944,0,0,0,0,"01020002",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,1664,22,1155,96,22,1742,8058,12,1,353,47882,137,45,5109,2958,104,264,118832,60202,16024,2717,504,1609,584154,807103,1791788,129076,17227,737739,13578,5,1,2,2,"01020003",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,4428,0,52,23,0,229,291,0,0,1592,60339,0,1,993,1035,2,138,196666,50049,14421,4684,1306,2178,840376,909125,1563530,176712,532,339183,13953,0,0,6,0,"01020004",470,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,44100,29124,0,109,22,2,369,717,0,0,3310,227010,11,0,2779,264,86,114,307129,172737,104153,43776,17718,10609,1029306,1435815,2306410,164579,2656,880003,93660,2,0,12113,0,"01020005",268,7,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1896,16,0,5,NA,NA,0,7,NA,NA,1,953,0,NA,4,3,0,1,523770,22333,8519,2641,535,9330,949817,1184688,1043910,528912,2632,305411,7321,NA,NA,0,NA,"01030001",21,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,743,10,0,4,NA,NA,0,3,NA,NA,5,688,0,NA,2,6,20,0,112200,15641,4695,2247,337,12007,552805,767961,537048,375129,2420,133937,5415,NA,NA,0,NA,"01030002",0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,67065,32,31,NA,NA,466,144,NA,NA,6949,644592,67,NA,690,35,722,233,446746,296177,155403,52551,16571,12297,2335051,1556288,3286400,197469,8168,727899,54092,NA,NA,1038,NA,"01030003",5352,NA,14,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,16553,NA,14,NA,NA,1573,33,NA,NA,859,243565,60,NA,866,27,173,24,207215,191651,110416,45541,16101,18651,1804499,1148169,2019248,84381,5343,269323,19756,NA,NA,1197,NA,"01040002",2274,2054,NA,6,9,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,777,775,NA,10,NA,NA,0,0,NA,NA,216,7678,0,NA,14,0,10,4,256564,30443,14613,6163,2050,7920,1127136,957156,1182964,181679,6313,158865,1494,NA,NA,48,NA,"01040001",1,0,NA,5,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1901040,715,NA,16,23,20,191,34,NA,1,186,5862,3,NA,49,192,15,21,365036,27853,9019,4201,882,522,348195,647973,994846,47469,1706,355046,24085,5,2,9,NA,"01050001",0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3504367,2987,NA,3,0,0,5,0,NA,0,193,18817,0,NA,39,0,952,1,81614,21882,10165,4104,436,557,119825,232351,445402,45588,4722,137210,23610,0,0,2454,NA,"01050004",0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,968014,1489,NA,11,0,0,50,32,NA,0,144,141983,19,NA,55,19,116,245,228520,128842,46277,11834,3071,12362,638017,433123,920736,33375,3721,280923,65433,0,0,20511,NA,"01050003",18,NA,NA,1,NA,NA,1358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,5190224,3888,NA,21,0,0,149,173,NA,0,507,66739,6,NA,173,64,2607,171,492590,173474,132791,44464,11811,24752,1024364,2418975,2595890,311534,15582,1004281,153759,0,0,195795,NA,"01050002",2,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1577,12564,NA,5,NA,NA,1034,1,NA,NA,246,102415,0,NA,6,0,887,2,157511,173000,68745,20911,5207,22561,1148971,931476,1845644,81498,2747,291964,20015,NA,NA,204,NA,"01060002",1981,4,NA,47,24,3750,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1022392,4089,NA,26,NA,NA,173,17,NA,NA,439,161066,19,NA,77,6,261,6,259029,220007,132727,55930,25172,15668,301977,522078,1085547,40739,6009,195985,46091,NA,NA,822,NA,"01060001",564,7,NA,0,0,7,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,943661,6280,NA,0,NA,NA,11,0,NA,NA,5212,171436,0,NA,0,0,147,1,104325,284556,185569,82868,29098,28564,578002,582297,1278407,102549,10507,488234,88988,NA,NA,144,NA,"01060003",1646,0,NA,13,0,10,NA,1,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,8320,148,0,NA,1,45,0,NA,NA,413,69516,NA,NA,53,NA,861,189,57360,93397,93699,72265,20884,11908,680256,258423,44989,8175,2837,96602,6553,NA,NA,36,NA,"01070004",5169,0,NA,218,NA,21,NA,83,28,18,2,2,52,6,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,8980,21425,17,6,NA,0,317,1,NA,NA,1325,170684,NA,NA,180,NA,1799,42,163450,394665,410208,333135,83801,42285,1504290,934333,686820,60529,7958,294297,54686,NA,NA,50,NA,"01070006",3550,2,NA,508,NA,43,NA,422,143,8,60,1,7,15,34,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,3265,17,0,NA,0,49,0,NA,NA,672,25071,NA,NA,70,NA,1847,25,42224,142070,144316,131857,33117,5344,374558,94869,3470,2655,2319,131329,9407,NA,NA,4,NA,"01070005",1826,0,NA,88,NA,5,NA,0,1,0,1,2,10,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,3677,6,0,NA,0,29,0,NA,NA,116,57380,NA,NA,9,NA,150,0,60853,85670,34715,10555,1382,9393,705404,511686,575381,29250,1661,100872,10297,NA,NA,2,NA,"01070003",321,18,NA,4,NA,5,NA,0,1,6,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,0,1780,1,0,NA,0,44,0,NA,NA,19,43818,NA,NA,5,NA,77,26,79942,61954,27559,10238,1445,7120,964278,663929,1006730,27520,434,41948,1408,NA,NA,4,NA,"01070001",50,0,NA,516,NA,4,NA,0,1,0,0,0,0,0,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,0,572,0,0,NA,0,20,0,NA,NA,32,27993,NA,NA,22,NA,46,0,269263,71309,28182,12786,4179,5367,224575,168343,514245,19452,823,46469,2564,NA,NA,70,NA,"01070002",31,0,NA,18,NA,8,NA,0,0,0,0,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,11487,43,72,NA,123,2198,8,NA,NA,12634,24118,NA,NA,489,0,2763,3,59714,150662,82604,37912,9143,3322,1057895,86270,122785,2024,2598,71711,1142,34,NA,84,NA,"01080207",243,0,NA,4,NA,29,NA,NA,210,1894,51,0,0,0,330,0,0,15,67,21,771,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
