"layer","zone","Background","Corn","Soybeans","Barley","Spring Wheat","Winter Wheat","Rye","Oats","Canola","Other Hay/Non Alfalfa","Buckwheat","Potatoes","Peas","Clover/Wildflowers","Fallow/Idle Cropland","Apples","Open Water","Developed/Open Space","Developed/Low Intensity","Developed/Med Intensity","Developed/High Intensity","Barren","Deciduous Forest","Evergreen Forest","Mixed Forest","Shrubland","Grassland/Pasture","Woody Wetlands","Herbaceous Wetlands","Broccoli","Blueberries","Alfalfa","Sweet Corn","Mustard","Christmas Trees","Squash","Cranberries","HUC","Misc Vegs & Fruits","Sod/Grass Seed","Peppers","Other Crops","Sorghum","Tobacco","Dry Beans","Tomatoes","Peaches","Grapes","Strawberries","Pumpkins","Durum Wheat","Sunflower","Cucumbers","Cabbage","Eggplants","Herbs","Other Tree Crops","Carrots","Greens","Aquaculture","Pears","Dbl Crop WinWht/Soybeans","Triticale","Sweet Potatoes","Onions","Cherries","Garlic","Plums","Dbl Crop WinWht/Corn","Dbl Crop Barley/Corn","Celery","Radishes","Dbl Crop Oats/Corn","Dbl Crop Soybeans/Oats","Nectarines","Asparagus","Speltz","Dbl Crop Barley/Soybeans","Cotton","Peanuts","Millet","Dbl Crop WinWht/Sorghum","Sugarbeets","Watermelons","Switchgrass","Cantaloupes","Lettuce","Rape Seed","Dbl Crop Corn/Soybeans","Dbl Crop Barley/Sorghum","Pop or Orn Corn","Hops","Turnips","Rice","Dbl Crop Soybeans/Cotton","Pecans","Dbl Crop WinWht/Cotton","Flaxseed","Caneberries","Olives","Sugarcane","Citrus","Oranges","Cauliflower","Camelina","Vetch","Walnuts","Gourds","Mint","Apricots","Safflower","Lentils","Perennial Ice/Snow ","Other Small Grains","Pistachios","Dbl Crop Durum Wht/Sorghum","Honeydew Melons","Dbl Crop Lettuce/Durum Wht","Dbl Crop Lettuce/Cotton","Almonds","Dbl Crop Lettuce/Cantaloupe","Dbl Crop Lettuce/Barley","Pomegranates"
1,1,1995,223,0,7,0,0,18,83,0,424,0,97,3,50,24,3,498071,21571,8067,4513,1803,30055,1192647,1503363,1691170,783487,30677,325093,40513,0,26,1,NA,NA,37,0,0,"01020001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,0,46,2,2,0,0,57,20,0,1405,3,5,7,10,6,2,169529,10777,1172,292,75,6072,459362,872085,1279718,196092,13447,196692,14786,0,142,1,NA,NA,17,0,0,"01020002",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,4296,3,1185,35,0,425,4030,5,20141,44,3179,7,452,243,14,114868,60229,14920,2308,500,1714,583529,923047,1784265,184394,61247,557096,27233,75,230,114,NA,NA,98,120,140,"01020003",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,6492,26,10,0,0,174,444,0,50693,0,1738,7,786,2048,116,190812,50226,13931,3944,1186,3680,868381,947091,1516350,230030,29181,237314,25214,0,819,201,NA,NA,1419,1,0,"01020004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,44100,32013,26,42,0,3,255,695,0,174057,0,4876,8,67,873,537,294389,181619,103424,38394,15664,6630,1072214,1517472,2403922,166855,66455,645049,105704,0,10627,2748,NA,NA,195,0,63,"01020005",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1896,67,0,1,NA,0,1,10,NA,785,0,10,0,6,18,29,519143,22045,8193,1997,454,9189,967963,1044853,1075214,704095,27316,195127,14301,NA,0,1,0,NA,12,NA,0,"01030001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,743,2,0,0,NA,0,0,0,NA,311,0,6,0,0,3,0,107539,15215,3284,1369,179,14550,522291,812954,535028,380400,24245,97891,7310,NA,1,0,0,NA,0,NA,0,"01030002",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,70525,206,232,NA,48,18,80,NA,547204,12,3477,8,17,2195,1007,434941,300905,152839,44806,15095,12309,2401789,1703044,3244080,207678,144378,487900,90089,NA,1928,4014,1,NA,1129,NA,1,"01030003",597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,15168,14,435,NA,NA,24,769,NA,177395,6,2835,NA,8,327,3225,199633,195163,110790,40461,14163,17910,1793831,1250538,1947646,87123,116930,196991,36793,NA,554,531,0,NA,NA,NA,1,"01040002",344,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,777,670,3,0,NA,NA,0,0,NA,5424,0,4,NA,0,13,0,253055,31777,15356,6039,2086,7094,1120003,1060477,1183610,126953,9907,115050,4401,NA,2,201,1,NA,NA,NA,0,"01040001",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1901040,40,2,485,10,0,76,107,NA,2325,43,138,2,112,30,0,351975,29421,8597,2702,840,641,354950,689088,1043735,45266,8055,255119,39061,23,1262,65,NA,NA,0,7,0,"01050001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,3504367,38,0,124,6,0,41,35,NA,6596,2,53,6,21,146,0,73936,24271,8992,2409,355,1560,117002,237027,437342,42698,17705,134964,31900,5,15548,133,NA,NA,0,2,0,"01050004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,968014,1674,73,13,0,4,2,35,NA,96684,4,20,0,3,310,28,215281,131137,45700,9090,2406,14398,644048,479799,992239,37384,69768,128034,82510,0,20369,18,NA,NA,31,0,1,"01050003",1222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,5190224,1379,0,387,6,0,369,107,NA,39080,6,229,52,44,2030,0,463716,184567,131987,37594,9265,22834,1061623,2442890,2687611,339639,113879,773474,186184,7,175237,214,NA,NA,87,2,62,"01050002",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1577,11863,688,37,NA,0,2,12,NA,57508,NA,5999,NA,0,92,1600,148137,175258,68308,15373,4590,16915,1146423,1016613,1869519,80513,75905,161999,33710,NA,79,312,59,NA,0,2,7,"01060002",824,1069,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1022392,2525,197,60,NA,0,4,51,NA,79106,NA,324,NA,1,391,687,251539,223612,132483,45910,23069,11896,307979,571388,1078115,48088,142815,106392,46246,NA,14,282,211,NA,1,0,98,"01060001",478,576,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,943661,3646,1,0,NA,2,0,4,NA,78235,NA,42,NA,0,84,299,93474,289673,188116,71157,26995,20653,649738,671285,1285024,87138,220319,255373,85014,NA,214,2009,261,NA,0,5,20,"01060003",6,107,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0,5852,23,0,NA,14,2,0,NA,33132,NA,19,NA,NA,237,1476,52706,95700,96403,68679,18370,7142,674591,267991,32842,8743,93177,66583,7739,NA,4,138,582,NA,NA,56,6,"01070004",2,134,8,46,42,17,2,45,3,9,1,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,8980,15798,19,0,NA,19,20,6,NA,81521,NA,23,NA,NA,345,719,150046,390712,418662,307356,73771,29671,1485928,944917,692592,56127,248231,214905,57343,NA,60,368,960,NA,NA,241,27,"01070006",328,50,4,292,1,0,5,19,0,13,1,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0,2202,1,0,NA,0,2,0,NA,7681,NA,17,NA,NA,176,327,39044,144732,147714,121254,27302,2584,386855,105099,3884,5530,56676,86222,12415,NA,0,125,251,NA,NA,15,99,"01070005",1,55,0,122,84,13,2,3,0,1,0,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0,3329,14,0,NA,4,1,0,NA,22205,NA,2,NA,NA,39,99,56650,84752,34299,10307,1181,5529,681634,541858,582653,24485,71489,62510,15106,NA,15,437,7,NA,NA,10,88,"01070003",69,41,0,11,0,6,0,13,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,0,1542,49,1,NA,0,0,2,NA,25924,NA,2,NA,NA,11,79,76639,64190,27020,8418,1240,5766,965605,656497,1025729,23084,27626,26169,4082,NA,15,80,1,NA,NA,0,0,"01070001",1082,0,0,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,0,625,0,5,NA,0,0,8,NA,12421,NA,45,NA,NA,1,25,265468,72407,27363,11032,3833,4161,230930,155026,534444,21883,21777,28282,6419,NA,139,6,0,NA,NA,0,0,"01070002",72,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
